,Word,Audio,Pronunciation,Predicted_Pronunciation,Result,Levenshtein,Pos
0,peach,561_0.wav,ˈpitʃ,pitʃ,True,1,verb
1,tuso,514_0.wav,tuso,pluso,False,2,adjective
2,Chư A Thai,1099_0.wav,cɯ˧˥ a˧˥ tʰaj˧˥,ataj,True,11,noun
3,〇,1622_0.wav,maɾɯ,ma,True,2,noun
4,Utility,1042_0.wav,ˈʔuːtility,jutli,False,6,noun
5,bangun,172_0.wav,baŋun,baŋun,True,0,adjective
6,mirigi,698_0.wav,mirigi,mi,False,4,noun
7,abocina,990_0.wav,aβoθina,aoina,True,2,adjective
8,朗らか,77_0.wav,hogaɾaka,oaka,False,4,adjective
9,abattage,1088_0.wav,abataʒ,abataʒ,True,0,noun
10,ababillaba,1641_0.wav,aβaβiʎaβa,aia,False,6,noun
11,尕驴儿,1133_0.wav,ka˨˩˦ ly˧˥ aɻ˧,kala,False,10,noun
12,aninoasa,958_0.wav,aninŏasa,aninasa,True,1,noun
13,亚麻,1554_0.wav,ja˥˩ ma˧˥,jama,True,5,noun
14,lojala,445_0.wav,loiala,loiala,True,0,adjective
15,anagrama,730_0.wav,anaɡrama,anaɡama,True,1,noun
16,甘い,353_0.wav,amai,amai,True,0,adjective
17,sinis,213_0.wav,sinis,sinis,True,0,adjective
18,bleak,519_0.wav,ˈbɫik,puik,False,3,adjective
19,muĝi,1606_0.wav,mud͡ʒi,mudʒi,True,1,verb
20,berbicara,7_0.wav,bərbitʃara,bəbitʃa,False,3,verb
21,화상,139_0.wav,ɸwa̠sʰa̠ŋ,asaŋ,False,5,verb
22,formulierbar,1258_0.wav,fɔɾmuliːɾˈbaɽ,fomuliba,False,6,
23,Abhang,917_0.wav,ˈʔapˌhaŋ,apam,False,5,noun
24,미끼,425_0.wav,mik͈i,miki,True,1,verb
25,آله,1441_0.wav,aːlahu,al,False,4,noun
26,rayu,1396_0.wav,raju,au,False,2,noun
27,asasini,986_0.wav,asasinʲ,asasin,True,1,noun
28,nada,576_0.wav,nada,nada,True,0,verb
29,シニカル,212_0.wav,ɕinikaɾɯ,inika,True,3,adjective
30,bất hòa giải,814_0.wav,bɤ̆k˦˥ hwa˦˨ jaj˧˩˨,bwajaj,False,13,noun
31,静か,174_0.wav,ɕizɯka,izka,True,2,adjective
32,cleve,317_0.wav,ˈkɫiv,ki,False,3,verb
33,ordo,1387_0.wav,ordo,odo,True,1,noun
34,みず菜,1215_0.wav,mizɯna,mizna,True,1,noun
35,macru,1634_0.wav,makru,maku,True,1,noun
36,いらか段,997_0.wav,iɾakadaɴ,iakada,True,2,noun
37,好整以暇,1415_0.wav,xɑʊ˥˩ ʈʂɤŋ˨˩˦ i˨˩˦ ɕja˧˥,ataŋija,False,20,verb
38,实地勘查,1575_0.wav,ʂɚ˧˥ ti˥˩ kʰan˥˥ ʈʂʰa˧˥,tikana,True,17,verb
39,ミリ,1540_0.wav,miɾi,mi,False,2,noun
40,påskina,1213_0.wav,²p'oːɧiːna,poina,True,5,noun
41,Tierart,1492_0.wav,ˈtiːɾaɾt,tiat,True,4,noun
42,akromata,941_0.wav,akromata,akmata,False,2,adjective
43,hukum,147_0.wav,hukum,ukum,True,1,adjective
44,andilau,860_0.wav,andilau,andilau,True,0,noun
45,마일,682_0.wav,ma̠iɭ,mai,True,2,noun
46,amir,1626_0.wav,amiɾ,api,False,2,noun
47,귀의,203_0.wav,kɥiɰi,kɥi,False,2,adjective
48,bagus,218_0.wav,bagus,baus,True,1,adjective
49,pli fajna,538_0.wav,pli faina,plifaina,True,1,adjective
50,발휘하다,482_0.wav,pa̠ɾɦɥiɦa̠da̠,paiada,False,7,verb
51,cheat,106_0.wav,ˈtʃit,tʃit,True,1,verb
52,karut,312_0.wav,karut,kaut,True,1,verb
53,희망,280_0.wav,çima̠ŋ,imaŋ,True,2,verb
