,word,word_lang,word_pos,word_ipa,word_ipa_edited_vowel,word_en,next_word_index_verb,next_word_index_adjective,next_word_index_noun,next_word_index_verb_count,next_word_index_adjective_count,next_word_index_noun_count,predicted_pronunciation
0,타이가,ko,adjective,/tʰa̠iɡa̠/,ɶyɶ,Taiga,253:485:716:862:1051:1300:1358:1360:1514:1587,27:39:73:131:137:195:197:225:251:272:321:538:580:869:978:1128:1254,621:650:714:742:756:795:812:933:939:963:977:981:1012:1016:1089:1094:1095:1133:1154:1284:1349:1472:1517:1616:1627,10,17,25,tʰa̠iɡa̠
1,흥분하다,ko,verb,/xɯŋbunɦa̠da̠/,umuɶɶ,Excitement,782:837:1035:1061:1103:1490:1522,28:110:414:435:565:1225:1303:1642,613:640:687:717:729:743:776:789:815:816:980:1046:1099:1286:1290:1329:1359:1389:1435:1526:1557:1621,7,8,22,ŋbunada
2,teach,en,verb,/ˈtitʃ/,yb,teach,461:500:527:553:718:888:954:1188,372:924:1210,832:844:893:928:950:1172:1174:1232:1251:1326:1338:1347:1379:1407:1516:1536:1541,8,3,17,titʃ
3,ぴったり,ja,adjective,/pitːaɾi/,yɶy,Exactly,121:201:320:360:411:418:1074:1106:1218:1274:1447,385:434:441:719:752:989:1270:1403:1404,620:768:787:851:935:947:987:1068:1104:1125:1148:1233:1277:1288:1298:1299:1328:1388:1416:1434:1458:1488:1519:1525:1564:1615:1659,11,9,27,pitai
4,murung,id,adjective,/muruŋ/,uum,Murung.,144:211:237:379:877:1362,53:367:368:507:720,683:771:918:970:994:1080:1248:1354,6,5,8,muŋ
5,말하다,ko,verb,/ma̠ɾɦa̠da̠/,ɶɶɶ,say,117:214:326:378:799:824:835:916:988:1096:1211:1342:1355:1428:1537,30:51:77:135:219:233:265:361:423:636:1018:1079:1623,697:721:727:730:745:769:807:843:846:859:864:878:897:905:934:1011:1017:1025:1072:1088:1091:1100:1101:1136:1189:1190:1280:1292:1317:1334:1456:1565:1568,15,13,33,nada
6,話す,ja,verb,/hanasɯ/,ɶɶu,speak,722:780:1062:1191:1209:1268,166:738:870:1470,725:749:836:857:875:900:915:965:976:1027:1058:1118:1156:1165:1180:1271:1340:1341:1441:1556:1593:1619,6,4,22,bəbitʃa
7,berbicara,id,verb,/bərbitʃara/,əyɶɶ,Speaking,57:92:99:101:198:240:293:329:401:419:482:723:775:826:850:999:1093:1155:1401:1575:1588:1635:1637,71:78:80:234:415:445:447:802:991:1134:1212:1445:1473:1545,597:598:672:677:792:800:803:841:874:940:958:959:960:1110:1146:1187:1230:1244:1256:1260:1295:1302:1331:1336:1385:1444:1465:1597:1604:1636:1641,23,14,31,balasan
8,balasan,id,verb,/balasan/,ɶɶɶm,reply,282:724:798:983:1231:1503,12:984:1001:1013:1344,728:820:866:871:946:997:1036:1221:1222:1259:1261:1291:1630,6,5,13,pŋɡada
9,輝く,ja,verb,/kagajakɯ/,ɶɶɶu,Shine,722:780:1062:1191:1209:1268,166:738:870:1470,725:749:836:857:875:900:915:965:976:1027:1058:1118:1156:1165:1180:1271:1340:1341:1441:1556:1593:1619,6,4,22,taɡkada
10,浸す,ja,verb,/çitasɯ/,yɶu,Immerse,271:469:703:1102,126:235:334:539:1304:1454,612:726:751:791:794:804:808:855:860:891:936:979:998:1005:1034:1037:1054:1056:1069:1073:1122:1135:1203:1343:1373:1386:1483:1530:1574:1585:1599:1653,4,6,32,natanada
11,평가하다,ko,verb,/pʰjʌ̹ŋɡa̠ɦa̠da̠/,ɔmɶɶɶ,Evaluate,117:214:326:378:799:824:835:916:988:1096:1211:1342:1355:1428:1537,30:51:77:135:219:233:265:361:423:636:1018:1079:1623,697:721:727:730:745:769:807:843:846:859:864:878:897:905:934:1011:1017:1025:1072:1088:1091:1100:1101:1136:1189:1190:1280:1292:1317:1334:1456:1565:1568,15,13,33,badʒiŋan
12,낙하산,ko,adjective,/na̠kʰa̠sʰa̠n/,ɶɶɶm,parachute,8:76:94:138:228:281:302:376:382:398:417:454:465:524:724:798:983:1231:1503,456:526:984:1001:1013:1344,607:660:712:728:852:866:871:946:997:1036:1221:1222:1259:1261:1630,19,6,15,man
13,煌く,ja,verb,/kagajakɯ/,ɶɶɶu,Shining,722:780:1062:1191:1209:1268,166:738:870:1470,725:749:836:857:875:900:915:965:976:1027:1058:1118:1156:1165:1180:1271:1340:1341:1441:1556:1593:1619,6,4,22,sani
14,자극하다,ko,verb,/t͡ɕa̠ɡɯkʰa̠da̠/,bɶuɶɶ,stimulate,782:837:1035:1061:1103:1490:1522,28:110:414:435:565:1225:1303:1642,613:640:687:717:729:743:776:789:815:816:980:1046:1099:1286:1290:1329:1359:1389:1435:1526:1557:1621,7,8,22,azkai
15,나타나다,ko,verb,/na̠tʰa̠na̠da̠/,ɶɶɶɶ,appear,117:214:326:378:799:824:835:916:988:1096:1211:1342:1355:1428:1537,30:51:77:135:219:233:265:361:423:636:1018:1079:1623,697:721:727:730:745:769:807:843:846:859:864:878:897:905:934:1011:1017:1025:1072:1088:1091:1100:1101:1136:1189:1190:1280:1292:1317:1334:1456:1565:1568,15,13,33,kjasokada
16,bajingan,id,adjective,/badʒiŋan/,ɶyɶm,A bastard,1006:1226:1319:1345:1353:1440:1491:1505,731:1279:1351:1363,861:1077:1208:1236:1240:1370:1419:1431:1459,8,4,9,ak
17,高い,ja,adjective,/takai/,ɶɶy,high,44:46:84:86:91:93:210:226:238:252:269:298:380:503:569:761:880:937:1007:1026:1066:1216,68:128:148:157:339:416:788:1157,732:750:763:783:817:819:879:885:914:966:971:1015:1029:1087:1092:1108:1123:1131:1144:1178:1181:1192:1207:1227:1238:1285:1426:1457:1460:1500:1506:1508:1547:1549:1555:1579:1598,22,8,37,uida
18,많은,ko,adjective,/ma̠nɯn/,ɶum,Plenty,319:747:974:1124,172:520:543,623:630:733:786:906:938:1020:1055:1246:1266:1411:1569:1600,4,3,13,aidi
19,resanigi,eo,verb,/resanigi/,øɶyy,heal,140:242:359:785:796:911:1380:1429,20:33:65:74:127:183:236:267:278:338:366:501:517:873:1043:1281:1356:1603,604:734:735:740:777:856:910:921:955:982:986:993:1038:1040:1041:1048:1052:1130:1138:1151:1158:1242:1480,8,18,23,nonada
20,恥ずかしい,ja,adjective,/hazɯkaɕii/,ɶuɶyy,Embarrassing,19:25:58:140:181:208:222:242:327:359:785:796:911:1139:1380:1408:1429:1442,873:1043:1281:1356:1603,735:740:748:777:856:910:921:955:982:986:993:1038:1040:1041:1048:1052:1130:1151:1158:1242:1451:1480,18,5,22,kuadʒa
21,계속하다,ko,verb,/kje̞sʰo̞kʰa̠da̠/,øoɶɶ,Continue,867:996:1265:1468,200:258:741:941:945:969:1293:1368:1640,686:736:760:781:809:810:814:849:894:931:1003:1022:1084:1150:1198:1257:1439,4,9,17,akan
22,amuzi,eo,verb,/amuzi/,ɶuy,to entertain,98:111:290:311:377:572:710:886:1098:1194:1282,95:286:942:1381:1499:1602,615:629:635:696:737:823:825:827:838:868:1071:1075:1083:1126:1137:1152:1196:1223:1224:1249:1262:1263:1272:1297:1613:1617:1649:1654,11,6,28,fatala
23,早く,ja,adjective,/hajakɯ/,ɶɶu,quickly,722:780:1062:1191:1209:1268,166:738:870:1470,725:749:836:857:875:900:915:965:976:1027:1058:1118:1156:1165:1180:1271:1340:1341:1441:1556:1593:1619,6,4,22,kian
24,어울리다,ko,verb,/ʌ̹uɭʎida̠/,ɔuyɶ,comport,369:822:920:1430:1433:1461,123:173:303:471:592:907:1193:1657,689:708:739:865:883:975:1002:1008:1010:1082:1120:1140:1195:1234:1258:1301:1366:1413:1482:1510:1591,6,8,21,okoai
25,rajdi,eo,verb,/raidi/,ɶyy,ride,140:242:359:785:796:911:1380:1429,20:33:65:74:127:183:236:267:278:338:366:501:517:873:1043:1281:1356:1603,604:734:735:740:777:856:910:921:955:982:986:993:1038:1040:1041:1048:1052:1130:1138:1151:1158:1242:1480,8,18,23,kopida
26,논하다,ko,verb,/no̞nɦa̠da̠/,oɶɶ,reason,867:996:1265:1468,200:258:741:941:945:969:1293:1368:1640,686:736:760:781:809:810:814:849:894:931:1003:1022:1084:1150:1198:1257:1439,4,9,17,iat
27,senpartia,eo,adjective,/senpartia/,ømɶyɶ,impartial,88:141:253:485:716:862:1051:1300:1358:1514:1518:1570:1587,0:73:131:869:973:978:1128:1254:1497,633:650:742:756:795:933:939:963:977:981:1012:1016:1089:1094:1095:1133:1149:1154:1284:1349:1472:1517:1616:1660,13,9,24,sabila
28,kuraĝa,eo,adjective,/kurad͡ʒa/,uɶɶ,brave,1:14:63:90:227:276:307:782:837:1035:1061:1103:1318:1490:1522,110:405:414:565:1303:1642,613:640:687:717:729:743:776:789:815:816:980:1046:1099:1145:1286:1329:1359:1389:1435:1526:1557:1621,15,6,22,iŋat
29,akan,id,verb,/akan/,ɶɶm,will,139:215:246:283:457:474:479:540:542:811:1377,87:105:231:458:462:537:764,611:617:618:647:663:674:679:681:744:759:774:813:831:872:876:917:930:968:1204:1239:1273:1313:1361:1607:1624,11,7,25,lis
30,fatala,eo,adjective,/fatala/,ɶɶɶ,fatal,5:11:15:97:109:115:117:133:146:171:176:179:214:259:270:308:326:328:373:378:453:799:824:835:916:988:1096:1211:1342:1355:1428:1537:1618,77:129:135:163:219:361:636:1018:1079:1623,645:653:697:721:727:730:745:769:807:846:859:864:878:905:934:1011:1017:1021:1025:1072:1088:1090:1091:1101:1136:1189:1190:1280:1292:1456:1565,33,10,31,mataŋ
31,기한,ko,verb,/kiɦa̠n/,yɶm,deadline,765:912:1143,47:194:249:1493,631:634:746:909:932:956:1009:1014:1097:1199:1327:1566:1605,3,4,13,məatapi
32,싸움,ko,verb,/s͈a̠um/,ɶum,Fight,319:747:974:1124,172:520:543,623:630:733:786:906:938:1020:1055:1246:1266:1411:1569:1600,4,3,13,iuda
33,誇らしい,ja,adjective,/hokoɾaɕii/,ooɶyy,proud,19:25:58:140:181:208:222:242:327:359:785:796:911:1139:1380:1408:1429:1442,873:1043:1281:1356:1603,735:740:748:777:856:910:921:955:982:986:993:1038:1040:1041:1048:1052:1130:1151:1158:1242:1451:1480,18,5,22,mətʃapai
34,若い,ja,adjective,/ɰᵝakai/,ɶɶy,young,44:46:84:86:91:93:210:226:238:252:269:298:380:503:569:761:880:937:1007:1026:1066:1216,68:128:148:157:339:416:788:1157,732:750:763:783:817:819:879:885:914:966:971:1015:1029:1087:1092:1108:1123:1131:1144:1178:1181:1192:1207:1227:1238:1285:1426:1457:1460:1500:1506:1508:1547:1549:1555:1579:1598,22,8,37,pit
35,生み出す,ja,verb,/ɯmidasɯ/,uyɶu,produce,271:469:703:1102,126:235:334:539:1304:1454,612:726:751:791:794:804:808:855:860:891:936:979:998:1005:1034:1037:1054:1056:1069:1073:1122:1135:1203:1343:1373:1386:1483:1530:1574:1585:1599:1653,4,6,32,alus
36,괴롭히다,ko,adjective,/kø̞ɾo̞pʰida̠/,øoyɶ,bully,1197:1306:1415,64:178:232:266:287:330:424:464:753:772:943:990:1153:1289:1463,693:784:805:863:919:1000:1050:1067:1213:1245:1269:1372:1443:1474:1633:1646,3,15,16,soɡida
37,forno,eo,verb,/forno/,oo,oven,323:432:754:1059:1502,161:273:333:446:516,657:1160:1169:1310:1335:1339:1346:1387:1450:1577:1629,5,5,11,iada
38,씨앗,ko,adjective,/ɕ͈ia̠t̚/,yɶb,seed,40:61:83:845,257:300:394:478:755:1417:1583,757:806:929:1047:1147:1202:1243:1427:1486:1492,4,7,10,dali
39,stabila,eo,adjective,/stabila/,bɶyɶ,stable,88:141:253:485:716:862:1051:1300:1358:1514:1518:1570:1587,0:73:131:869:973:978:1128:1254:1497,633:650:742:756:795:933:939:963:977:981:1012:1016:1089:1094:1095:1133:1149:1154:1284:1349:1472:1517:1616:1660,13,9,24,siɲal
40,ingat,id,verb,/iŋat/,yɶb,remember,191:545:589:845,38:755:1417:1583,757:779:806:929:1047:1147:1202:1243:1427:1486:1492,4,4,11,maldʒoia
41,liris,id,adjective,/liris/,yyb,lyrical,48:224:297:324:1004:1086:1201:1391,1044:1129:1132,758:766:972:1023:1121,8,3,5,kai
42,matang,id,adjective,/mataŋ/,ɶɶm,mature,139:215:246:283:457:474:479:540:542:811:1377,87:105:231:458:462:537:764,611:617:618:647:663:674:679:681:744:759:774:813:831:872:876:917:930:968:1204:1239:1273:1313:1361:1607:1624,11,7,25,apn
43,유도하다,ko,verb,/judo̞ɦa̠da̠/,uoɶɶ,Induce,867:996:1265:1468,200:258:741:941:945:969:1293:1368:1640,686:736:760:781:809:810:814:849:894:931:1003:1022:1084:1150:1198:1257:1439,4,9,17,isai
44,meratapi,id,verb,/məratapi/,əɶɶy,mourni.,505:569:761:880:937:1007:1024:1026:1066:1216,17:34:148:153:244:250:332:353:358:403:544:788:1157,599:624:626:732:750:763:783:817:819:858:879:885:914:966:971:1015:1029:1087:1092:1123:1131:1178:1181:1186:1192:1207:1227:1238:1285:1330:1460:1500:1508:1549:1555:1579:1598,10,13,37,bəbai
45,이루다,ko,verb,/iɾuda̠/,yuɶ,accomplished,248:995:1065:1283:1551,174:217:908:961:1614,628:762:773:821:1085:1183:1205:1206:1215:1220:1402:1418:1466:1469:1484:1524:1644,5,5,17,mdanina
46,mencapai,id,verb,/məntʃapai/,əmɶɶy,Achieve,505:569:761:880:937:1007:1024:1026:1066:1216,17:34:148:153:244:250:332:353:358:403:544:788:1157,599:624:626:732:750:763:783:817:819:858:879:885:914:966:971:1015:1029:1087:1092:1123:1131:1178:1181:1186:1192:1207:1227:1238:1285:1330:1460:1500:1508:1549:1555:1579:1598,10,13,37,sina
47,diam,id,adjective,/diam/,yɶm,Silence,31:280:765:912:1143,209:305:1493,609:631:746:909:932:956:1009:1014:1199:1255:1327:1566:1605,5,3,13,asia
48,repeat,en,verb,/ɹiˈpit/,yyb,repeat,1004:1086:1201:1391,41:213:289:1044:1129:1132,758:766:972:1121:1159,4,6,5,tsida
49,halus,id,adjective,/halus/,ɶub,smooth,433:847:913:1316:1504,839:1070:1179,767:944:962:967:985:1057:1309:1395:1489:1652,5,3,10,oaka
50,苦い,ja,adjective,/nigai/,yɶy,bitter,121:201:320:360:411:418:1074:1106:1218:1274:1447,385:434:441:719:752:989:1270:1403:1404,620:768:787:851:935:947:987:1068:1104:1125:1148:1233:1277:1288:1298:1299:1328:1388:1416:1434:1458:1488:1519:1525:1564:1615:1659,11,9,27,imanina
51,amara,eo,adjective,/amara/,ɶɶɶ,bitter,5:11:15:97:109:115:117:133:146:171:176:179:214:259:270:308:326:328:373:378:453:799:824:835:916:988:1096:1211:1342:1355:1428:1537:1618,77:129:135:163:219:361:636:1018:1079:1623,645:653:697:721:727:730:745:769:807:846:859:864:878:905:934:1011:1017:1021:1025:1072:1088:1090:1091:1101:1136:1189:1190:1280:1292:1456:1565,33,10,31,moina
52,mengurangi,id,verb,/məŋuraŋi/,əuɶy,Reduce,325:848:1081:1127:1337:1412:1420,119:165:294:430:521:797:1200:1219,601:668:680:770:818:830:854:957:1049:1053:1170:1214:1237:1241:1305:1315:1333:1348:1357:1523:1546:1651,7,8,22,biasa
53,드문,ko,adjective,/tɯmun/,uum,rare,510:877:1362,4:147:720,662:771:918:970:994:1080:1185:1248:1354,3,3,9,liat
54,속이다,ko,adjective,/sʰo̞ɡida̠/,oyɶ,chisel,1197:1306:1415,64:178:232:266:287:330:424:464:753:772:943:990:1153:1289:1463,693:784:805:863:919:1000:1050:1067:1213:1245:1269:1372:1443:1474:1633:1646,3,15,16,məŋai
55,기르다,ko,verb,/kiɾɯda̠/,yuɶ,cultivate,248:995:1065:1283:1551,174:217:908:961:1614,628:762:773:821:1085:1183:1205:1206:1215:1220:1402:1418:1466:1469:1484:1524:1644,5,5,17,kamdokada
