,Word,Audio,Pronunciation,Predicted_Pronunciation,Result,Levenshtein
0,peach,561_0.wav,ˈpitʃ,pitʃ,True,1
1,tuso,514_0.wav,tuso,pluso,False,2
2,Chư A Thai,1099_0.wav,cɯ˧˥ a˧˥ tʰaj˧˥,ataj,True,11
3,〇,1622_0.wav,maɾɯ,ma,True,2
4,Utility,1042_0.wav,ˈʔuːtility,jutli,False,6
5,bangun,172_0.wav,baŋun,baŋun,True,0
6,mirigi,698_0.wav,mirigi,mi,False,4
7,abocina,990_0.wav,aβoθina,aoina,True,2
8,朗らか,77_0.wav,hogaɾaka,oaka,False,4
9,abattage,1088_0.wav,abataʒ,abataʒ,True,0
10,ababillaba,1641_0.wav,aβaβiʎaβa,aia,False,6
11,尕驴儿,1133_0.wav,ka˨˩˦ ly˧˥ aɻ˧,kala,False,10
12,aninoasa,958_0.wav,aninŏasa,aninasa,True,1
13,亚麻,1554_0.wav,ja˥˩ ma˧˥,jama,True,5
14,lojala,445_0.wav,loiala,loiala,True,0
15,anagrama,730_0.wav,anaɡrama,anaɡama,True,1
16,甘い,353_0.wav,amai,amai,True,0
17,sinis,213_0.wav,sinis,sinis,True,0
18,bleak,519_0.wav,ˈbɫik,puik,False,3
19,muĝi,1606_0.wav,mud͡ʒi,mudʒi,True,1
20,berbicara,7_0.wav,bərbitʃara,bəbitʃa,False,3
21,화상,139_0.wav,ɸwa̠sʰa̠ŋ,asaŋ,False,5
22,formulierbar,1258_0.wav,fɔɾmuliːɾˈbaɽ,fomuliba,False,6
23,Abhang,917_0.wav,ˈʔapˌhaŋ,apam,False,5
24,미끼,425_0.wav,mik͈i,miki,True,1
25,آله,1441_0.wav,aːlahu,al,False,4
26,rayu,1396_0.wav,raju,au,False,2
27,asasini,986_0.wav,asasinʲ,asasin,True,1
28,nada,576_0.wav,nada,nada,True,0
29,シニカル,212_0.wav,ɕinikaɾɯ,inika,True,3
30,bất hòa giải,814_0.wav,bɤ̆k˦˥ hwa˦˨ jaj˧˩˨,bwajaj,False,13
31,静か,174_0.wav,ɕizɯka,izka,True,2
32,cleve,317_0.wav,ˈkɫiv,ki,False,3
33,ordo,1387_0.wav,ordo,odo,True,1
34,みず菜,1215_0.wav,mizɯna,mizna,True,1
35,macru,1634_0.wav,makru,maku,True,1
36,いらか段,997_0.wav,iɾakadaɴ,iakada,True,2
37,好整以暇,1415_0.wav,xɑʊ˥˩ ʈʂɤŋ˨˩˦ i˨˩˦ ɕja˧˥,ataŋija,False,20
38,实地勘查,1575_0.wav,ʂɚ˧˥ ti˥˩ kʰan˥˥ ʈʂʰa˧˥,tikana,True,17
39,ミリ,1540_0.wav,miɾi,mi,False,2
40,påskina,1213_0.wav,²p'oːɧiːna,poina,True,5
41,Tierart,1492_0.wav,ˈtiːɾaɾt,tiat,True,4
42,akromata,941_0.wav,akromata,akmata,False,2
43,hukum,147_0.wav,hukum,ukum,True,1
44,andilau,860_0.wav,andilau,andilau,True,0
45,마일,682_0.wav,ma̠iɭ,mai,True,2
46,amir,1626_0.wav,amiɾ,api,False,2
47,귀의,203_0.wav,kɥiɰi,kɥi,False,2
48,bagus,218_0.wav,bagus,baus,True,1
49,pli fajna,538_0.wav,pli faina,plifaina,True,1
50,발휘하다,482_0.wav,pa̠ɾɦɥiɦa̠da̠,paiada,False,7
51,cheat,106_0.wav,ˈtʃit,tʃit,True,1
52,karut,312_0.wav,karut,kaut,True,1
53,희망,280_0.wav,çima̠ŋ,imaŋ,True,2
54,bifurca,821_0.wav,bifurka,bifuka,True,1
55,a bàng,774_0.wav,a˧˥ baŋ˦˨,abaŋ,True,5
56,muara,640_0.wav,muara,mua,False,2
57,반란,231_0.wav,pa̠ɭɭa̠n,pan,False,5
58,akan,29_0.wav,akan,akan,True,0
59,sovaĝa,200_0.wav,sovad͡ʒa,sovadʒa,True,1
60,发展,1377_0.wav,fa˥˥ ʈʂan˨˩˦,fadan,False,8
61,repeat,48_0.wav,ɹiˈpit,pit,False,3
62,파리,108_0.wav,pʰa̠ɾi,pai,True,3
63,miau,1620_0.wav,mjau,miau,False,1
64,가이단,1505_0.wav,ka̠ida̠n,kaidan,True,2
65,aliman,1431_0.wav,aliman,aliman,True,0
66,bidouilla,773_0.wav,biduja,binuja,False,1
67,boudina,1140_0.wav,budina,budina,True,0
68,أودينيزي,1371_0.wav,ʔuːdiːniːziː,udinizi,True,5
69,führt,527_0.wav,ˈfyɾt,flt,False,3
70,trandafiriu,1281_0.wav,trandafiriw,tandafi,False,4
71,lipat,394_0.wav,lipat,lipat,True,0
72,반란,479_0.wav,pa̠ɭɭa̠n,pan,False,5
73,abréviasi,1659_0.wav,abreviasi,abfiasi,False,3
74,深い,430_0.wav,ɸɯkai,kai,True,2
75,akapari,1598_0.wav,akapari,akapai,True,1
76,nữ phi hành gia,960_0.wav,nɯ˧˩˨ fi˧˥ han˦˨ ja˧˥,nfianja,True,14
77,Saurbæ,1564_0.wav,sœirpai,sapai,False,3
78,말단,458_0.wav,ma̠ɭda̠n,mata,False,5
79,bobina,1000_0.wav,bobina,bobina,True,0
80,갈강이다,1149_0.wav,ka̠ɭɡa̠ŋida̠,kaɡaŋida,True,4
81,こだま,894_0.wav,kodama,oama,False,2
82,무모,529_0.wav,mumo̞,mumo,True,1
83,fortika,266_0.wav,fortika,fotika,True,1
84,abatían,1491_0.wav,aβaˈtian,atian,False,3
85,bodoh,273_0.wav,bodoh,bodo,True,1
86,가극,767_0.wav,ka̠ɡɯk̚,kaɡ,False,4
87,dorno,586_0.wav,dorno,dono,True,1
88,자극하다,405_0.wav,t͡ɕa̠ɡɯkʰa̠da̠,taɡkada,True,7
89,あぶり出し,1325_0.wav,abɯɾidaɕi,abidai,True,3
90,bodi,1512_0.wav,bodi,bodi,True,0
91,adakala,1011_0.wav,adakala,adakala,True,0
92,hồng y giáo chủ,1037_0.wav,hoŋ͡m˦˨ i˧˥ jaw˩˧ cu˧˩˨,amijawu,False,17
93,고립하다,1385_0.wav,ko̞ɾipʰa̠da̠,koipada,True,5
94,abjadiah,1254_0.wav,abdʒadiah,adʒadia,False,2
95,bergairah,131_0.wav,bərgairah,bəa,False,6
96,대답하다,645_0.wav,tɛ̝da̠pʰa̠da̠,tɛdapada,True,5
97,Tori,1314_0.wav,ˈtoːɾi,toi,True,3
98,آحيني,740_0.wav,aːħiːnijj,ainaij,False,5
99,ＮＡＳＡ,1612_0.wav,nasa,nasa,True,0
100,motivasi,201_0.wav,motivasi,mətifasi,False,2
101,괴롭히다,36_0.wav,kø̞ɾo̞pʰida̠,kopida,False,6
102,abrakadabra,1280_0.wav,abrakadabra,abakadaba,True,2
103,ぴったり,3_0.wav,pitːaɾi,pitai,True,2
104,paú,923_0.wav,paˈu,pau,True,1
105,iri,890_0.wav,iri,i,False,2
106,수로,343_0.wav,sʰuɾo̞,so,False,4
107,wazir,392_0.wav,wazir,wazi,True,1
108,아빠,559_0.wav,a̠p͈a̠,apa,True,3
109,개다시마,1497_0.wav,kɛ̝da̠ɕʰima̠,kidaima,False,6
110,ハイファイ,669_0.wav,haiɸai,aiai,True,2
111,abau,749_0.wav,abau,abau,True,0
112,prasarana,905_0.wav,prasarana,pasana,False,3
113,蜡烛,1410_0.wav,la˥˩ ʈʂu˧˥,lau,True,7
114,antinazis,1328_0.wav,ɑ̃tinazi,ɑ̃tinazi,True,0
115,柳,626_0.wav,janagi,janai,True,1
116,razi,477_0.wav,razi,aʒi,False,2
117,An Quảng Hữu,875_0.wav,aŋ˧˥ waŋ˧˩˨ hɯw˧˩˨,aŋwaŋw,True,12
118,bayam,1496_0.wav,bajam,bajam,True,0
119,밝히다,141_0.wav,pa̠ɭkçida̠,pakida,True,4
