word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme
hebilla,es,buckle,バックル,/eβiʎa/,øyɶ
mendigar,es,beg,頼む,/mendiɣaɾ/,ømyɶ
admirar,es,admire,憧れ,/aðmiɾaɾ/,ɶbyɶ
cantina,es,canteen,食堂,/kantina/,ɶmyɶ
retina,es,retina,網膜,/retina/,øyɶ
الاختيار,ar,the choice,選択肢,/aːlixtiːaːr/,ɶybyɶ
realizar,es,realize,気付く,/realiθaɾ/,øɶyɶ
lámina,es,leaf,葉,/ˈlamina/,ɶyɶ
طعم,ar,Taste,味,/tˤaʕima/,bɶyɶ
lejía,es,bleach,漂白,/leˈxia/,øyɶ
deslizar,es,slide,滑り台,/dezliθaɾ/,øbyɶ
이기다,ko,win,勝つ,/iɡida̠/,yyɶ
réttlæta,is,rationalize,合理化,/rjɛhtlaita/,œbɶyɶ
motivar,es,to motivate,やる気を起こさせる,/motiβaɾ/,oyɶ
생기다,ko,to happen,発生する,/sʰɛ̝ŋɡida̠/,bœmyɶ
سمع,ar,he heard,彼は聞いた,/samiʕa/,ɶyɶ
جشع,ar,Greed,貪欲,/dʒaʃiʕa/,bɶyɶ
dunia,id,world,世界,/dunia/,uyɶ
umræða,is,discussion,討論,/ʏmraiða/,ʏmɶyɶ
마시다,ko,drink,飲む,/ma̠ɕʰida̠/,ɶbyɶ
عمل,ar,a job,仕事,/ʕamila/,ɶyɶ
나뉘다,ko,Divide,分ける,/na̠nɥida̠/,ɶmyɶ
bifilar,de,bifilar,バイラー,/biˈfiːlaɽ/,yyɶ
puricaș,ro,Puricas,斑点,/purikaʃ/,uyɶ
Úkraína,is,Ukraine,ウクライナ,/uːkra ina/,ubɶyɶ
vaccina,/vaktʃina/,vaccinate,ワクチン接種,ɶbbyɶ,ro
玻璃碴,zh-cn,Glass,ガラス,/pɔ˥˥ li˧ ʈʂʰa˧˥/,ɔyɶ
ordinar,ro,ordinary,普通,/ordinar/,oyɶ
gagnrýna,is,criticize,批判,/kakrina/,ɶbyɶ
fermita,eo,closed,閉まっている,/fermita/,øyɶ
recrutât,/ʁəkʁyta/,recruit,リクルート,əbyɶ,fr
kveina,/kʰveiːna/,whine,泣き声,bøyɶ,is
métissages,/metisaʒ/,Mixing,混合,øyɶ,fr
닫히다,ko,shut,シャット,/ta̠t͡ɕʰida̠/,ɶbbyɶ
indæla,is,love,愛,/ɪntaila/,ʏmɶyɶ
空き家,ja,Vacant house,空き家,/akija/,ɶyɶ
dégrippa,/degʁipa/,tumbled,転んだ,øbyɶ,fr
madrina,es,godmother,ゴッドマザー,/maðɾina/,ɶbyɶ
naviga,ro,sail,帆,/naviɡa/,ɶyɶ
七夜,ja,Seven nights,七夜,/ɕitɕija/,ybyɶ
berilah,id,Give,与える,/bərilah/,əyɶ
arruina,es,ruin,破滅,/arwina/,ɶyɶ
maquillas,fr,made up,作り物,/makija/,ɶyɶ
