word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme
entschuldigen,de,to apologize,謝罪する,/ɛntˈʃʊldiɡən/,œmbʊbyəm
irreführen,de,mislead,誤解を招く,/ˈʔɪɾɾeˌfyɾən/,ʏøyəm
beseitigen,de,remove,削除する,/bəˈzaɪ̯tɪɡən/,əɶʏʏəm
belästigen,de,molest,痴漢,/bəˈlɛstɪgən/,əœbʏəm
rechtfertigen,de,justify,正当化します,/ʁɛçtˈfɛʁtiɡən/,œbœbyəm
übertreiben,de,exaggerate,誇張します,/ˌyːbəʁˈtʁaɪ̯bən/,yəbbɶʏəm
epithelium,en,epithelium,上皮,/ˌɛpɪˈθiɫjəm/,œʏyəm
beleidigen,de,offend,気分を害する,/bəˈlaedɪgən/,əɶøʏəm
existieren,de,exist,存在,/ˌɛksɪsˈtiːʀən/,œbʏbyəm
higginbottom,en,higginbottom,higginbottom,/hɪɡɪnˈbɑtəm/,ʏʏmɑəm
hypotheken,en,hypotheken,仮説,/ˌhaɪˈpɑθəkən/,ɶʏɑəəm
vá trời lấp biển,/ja˩˧ ʈɤj˦˨ lɤ̆p˦˥ biəŋ˧˩˨/,patch,パッチ,ɶoobyəm,vi
宾客阗门,/pɪn˥˥ kʰɤ˥˩ tʰjɛn˧˥ mən˧˥/,Guest,ゲスト,ʏmbobœməm,zh-cn
渗漏理论,zh-cn,Leakage theory,漏れ理論,/ʂən˥˩ loʊ˥˩ li˨˩˦ luən˥˩/,əmoʊyuəm
copernican,en,copernican,コペルニカン,/kəˈpɝnəkən/,əəəəm
înconjurăm,ro,surround,囲む,/ɨnkonʒurəm/,ʉmomuəm
勇力过人,zh-cn,Courageous,勇気のある,/jʊŋ˨˩˦ li˥˩ kuɔ˥˩ ʐən˧˥/,ʊmyuɔəm
elaborăm,ro,develop,発展させる,/elaborəm/,øɶoəm
