request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en
longing,en,verb,/ˈɫɔŋɪŋ/,ɔʏm,longing,borrning,sv,verb,/b'ɔrːnɪŋ/,ɔʏm,drilling
渴望,zh-cn,verb,/kʰɤ˨˩˦ wɑŋ˥˩/,oɑm,desire,profan,de,verb,/ˈpɾoˌfɑːn/,oɑm,profane
kerinduan,id,verb,/kərinduan/,əymuɶm,longing,acinturan,es,verb,/aθintuɾan/,ɶymuɶm,Acinturan.
갈망,ko,verb,/ka̠ɭma̠ŋ/,ɶɶm,craving,Adam,eo,noun,/adam/,ɶɶm,Adam
mengukir,id,verb,/məŋukir/,əuy,carve,băuni,ro,noun,/bəuni/,əuy,Bird
schnitzen,de,verb,/ˈʃnɪtsən/,ʏbəm,to carve,bittman,en,noun,/ˈbɪtmən/,ʏbəm,bittman
새기다,ko,verb,/sʰɛ̝ɡida̠/,œyɶ,carve,Bettina,de,noun,/bɛˈtiːna/,œyɶ,Bettina
talenta,eo,adjective,/talenta/,ɶømɶ,talented,アセンダ,ja,noun,/aseɴda/,ɶømɶ,Acada
berbakat,id,adjective,/bərbakat/,əɶɶb,talented,Delaware,fr,noun,/dəlawaʁ/,əɶɶb,Delaware
강화,ko,verb,/ka̠ŋβwa̠/,ɶmɶ,reinforce,canevas,fr,noun,/kanva/,ɶmɶ,canvas
reinforce,en,verb,/ˌɹiɪnˈfɔɹs/,yʏmɔb,reinforce,Bierimport,de,noun,/ˈbiːɾɪmpɔɾt/,yʏmɔb,Beer import
加强,zh-cn,verb,/tɕja˥˥ tɕʰjɑŋ˧˥/,bɶbɑm,strengthen,Zapfhahn,de,noun,/ˈtsapfɑn/,bɶbɑm,Tap
memperkuat,id,verb,/məmpərkuat/,əməuɶb,strengthen,contre-pouvoir,fr,noun,/kɔ̃tʁəpuvwaʁ/,ɔbəuɶb,counter-power
menyelinap,id,verb,/məɲəlinap/,əəyɶb,sneak,clătinat,ro,adjective,/klətinat/,bəyɶb,shook
schleichen,de,verb,/ˈʃlaeçən/,ɶøəm,to sneak,apelăm,ro,verb,/apeləm/,ɶøəm,appeal
sneak,en,verb,/ˈsnik/,byb,sneak,bribes,fr,noun,/bʁib/,byb,bribes
verbalize,en,verb,/ˈvɝbəˌɫaɪz/,əəɶʏb,verbalize,Mathematik,de,noun,/ˌmatəmaˈtɪk/,ɶəɶʏb,mathematics
organizi,eo,verb,/organizi/,oɶyy,to organize,asasini,ro,noun,/asasinʲ/,ɶɶyy,assassin
mengatur,id,verb,/məŋatur/,əɶu,set,分岔路,zh-cn,noun,/fən˥˥ ʈʂʰa˥˩ lu˥˩/,əɶu,Bubble
organize,en,verb,/ˈɔɹɡəˌnaɪz/,ɔəɶʏb,organize,Mathematik,de,noun,/ˌmatəmaˈtɪk/,ɶəɶʏb,mathematics
organisieren,de,verb,/ɔʀɡaniˈziːʀən/,ɔɶyyəm,to organize,积弊已深,zh-cn,verb,/tɕi˥˥ pi˥˩ i˨˩˦ ʂən˥˥/,byyyəm,Disadvantage
구성,ko,verb,/kusʰʌ̹ŋ/,uɔm,Configuration,coupon,en,noun,/ˈkjuˌpɔn/,uɔm,coupon
슬픈,ko,adjective,/sʰɯɭpʰɯn/,uum,Sad,runrún,es,noun,/ruˈnrun/,uum,whir
