request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en
hazarda,eo,adjective,/hazarda/,ɶɶɶ,random,ababa,es,verb,/aβaβa/,ɶɶɶ,Ababa
kebetulan,id,adjective,/kəbətulan/,əəuɶm,accidental,hârlăuan,ro,noun,/hɨrləuwan/,ʉəuɶm,Hârlauan
accidental,en,adjective,/ˌæksəˈdɛnəɫ/,æbəœə,accidental,abgehörte,de,verb,/ʔapgəˈhœɾtə/,ɶbəœə,undressed
malsana,eo,adjective,/malsana/,ɶbɶɶ,ill,aksara,id,noun,/aʔsara/,ɶbɶɶ,script
团结,zh-cn,verb,/tʰwan˧˥ tɕjɛ˧˥/,ɶmbœ,Unity,감재,ko,noun,/ka̠md͡ʑɛ̝/,ɶmbœ,Mistress
bersatu,id,verb,/bərsatu/,əɶu,unite,分岔路,zh-cn,noun,/fən˥˥ ʈʂʰa˥˩ lu˥˩/,əɶu,Bubble
歇斯底里,zh-cn,verb,/ɕjɛ˥˥ sɯ˥˥ ti˨˩˦ li˨˩˦/,œuyy,hysteria,adjudiki,eo,verb,/adjudiki/,ɶuyy,to adjudiki
histeria,eo,adjective,/histeria/,ybøyɶ,Histeria,aseleniza,ro,verb,/aseleniza/,ɶøøyɶ,landed
hysterical,en,adjective,/hɪˈstɛɹɪkəɫ/,ʏbœʏə,hysterical,abfertige,de,adjective,/ˈʔapˌfɛɾtɪgə/,ɶbœʏə,make
히스테리,ko,adjective,/çisʰɯtʰe̞ɾi/,yuøy,Hysteria,recrudecí,es,noun,/rekɾuðeˈθi/,øuøy,recruded
ヒステリック,ja,adjective,/çisɯteɾikːɯ/,yuøyu,Hysteric,룸메이트,ko,verb,/ɾumme̞itʰɯ/,umøyu,roommate
腐烂,zh-cn,verb,/fu˨˩˦ lan˥˩/,uɶm,rot,Ｕターン,ja,noun,/jɯːtaːɴ/,uɶm,U-turn
fluttering,en,verb,/ˈfɫətɝɪŋ/,əəʏm,fluttering,Gestein,de,noun,/gəˈʃtəɪn/,əəʏm,rock
見捨てる,ja,verb,/misɯteɾɯ/,yuøu,Abandon,대류뇌우,ko,noun,/tɛ̝ɾjunø̞u/,œuøu,Convection thunderstorm
