request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,request_word_ja,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en,response_word_ja
berlutut,id,verb,/bərlutut/,əuub,kneel,ひざまずく,năucul,ro,noun,/nəukul/,əuub,dumbfound,ダムファウンド
arrodillarse,es,verb,/aroðiʎaɾse/,ɶoyɶø,kneel down,ひざまずく,naivitate,ro,noun,/naivitate/,ɶyyɶø,naivety,素朴
무릎,ko,verb,/muɾɯp̚/,uub,knee,膝,tự sự,vi,adjective,/tɯ˨ˀ˩ʔ ʂɯ˨ˀ˩ʔ/,uub,autobiographic,自伝
tengjast,is,verb,/tʰeiɲcast/,øyɶbb,connect,接続,Emirats,de,noun,/ˈʔeːmiɾats/,øyɶbb,Emirats,首長
betreffen,de,verb,/bəˈtɾɛffən/,əœbəm,affect,影響,suggestion,en,noun,/səˈdʒɛstʃən/,əœbəm,suggestion,提案
kể lại,vi,verb,/ke˧˩˨ laj˨ˀ˩ʔ/,øɶb,told,言った,défiassent,fr,verb,/defjas/,øɶb,challenge,チャレンジ
relatera,sv,verb,/rɛlat'eːra/,œɶøɶ,relate,関連,bellaquea,es,noun,/beʎakea/,øɶøɶ,Bellaquea,ベラケア
rilati,eo,verb,/rilati/,yɶy,relate,関連,hí ha hí hoáy,vi,noun,/hi˩˧ ha˧˥ hi˩˧ hwăj˩˧/,yɶy,hí hahi,ヒハヒ
mengaitkan,id,verb,/məŋaitkan/,əɶybɶm,associate,仲間、同僚,klassískan,is,adjective,/kʰlasiskan/,bɶybɶm,classic,クラシック
relatar,es,verb,/relataɾ/,øɶɶ,relate,関連,beata,eo,verb,/beata/,øɶɶ,blessed,祝福されています
faible,fr,adjective,/fɛbl/,œbb,weak,弱い,drekkt,is,adjective,/trɛxt/,œbb,drunk,酔っ払い
弱い,ja,adjective,/joɰᵝai/,oɶy,weak,弱い,faux ami,fr,noun,/foami/,oɶy,fake friend,偽の友達
débil,es,adjective,/ˈdeβil/,øyb,weak,弱い,délik,id,noun,/deliʔ/,øyb,offense,攻撃
heikko,fi,adjective,/ˈheikko/,øybo,weak,弱い,séismaux,fr,noun,/seismo/,øybo,earthquake,地震
mengikis,id,verb,/məŋikis/,əyyb,erode,侵食,cabrini's,en,noun,/kəˈbɹiniz/,əyyb,cabrini's,カブリニ
skrapa,sv,verb,/²skr'ɑːpa/,bɑɶ,Scrape,こすります,绛纱,zh-cn,noun,/tɕjɑŋ˥˩ ʂa˥˥/,bɑɶ,Gauze,ガーゼ
scrape,en,verb,/ˈskɹeɪp/,bøʏb,scrape,こすります,smetig,sv,adjective,/²sm'eːtɪg/,bøʏb,smeary,スミアリー
raspar,es,verb,/raspaɾ/,ɶbɶ,to scrape,こすります,kalkar,sv,noun,/²k'alːkar/,ɶbɶ,Lalkar,ラルカー
vengeful,en,adjective,/ˈvɛndʒfəɫ/,œmbə,vengeful,復ge,wärmste,de,adjective,/ˈvɛɾmstə/,œmbə,warmest,最も暖かい
복수,ko,adjective,/po̞ks͈u/,obu,revenge,復讐,holmiu,ro,noun,/holmju/,obu,Holmiu,ホルミウ
dendam,id,adjective,/dəndam/,əmɶm,feud,確執,侦办,zh-cn,verb,/ʈʂən˥˥ pan˥˩/,əmɶm,Investigate,調査
hämnd,sv,adjective,/hɛmːd/,œmb,revenge,復讐,hefnd,is,noun,/hɛmt/,œmb,vengeance,復讐
lernen,de,verb,/ˈlɛʁnən/,œbəm,to learn,学ぶために,rexham,en,noun,/ˈɹɛksəm/,œbəm,wrexham,レクサム
