request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,request_word_ja,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en,response_word_ja
ridicule,fr,adjective,/ʁidikyl/,yyyb,ridiculous,ばかげている,myrkytys,fi,verb,/ˈmyrkytys/,yyyb,poisoning,中毒
picken,de,verb,/ˈpɪkən/,ʏəm,peck,ペック,凌晨,zh-cn,noun,/lɪŋ˧˥ ʈʂʰən˧˥/,ʏəm,Early morning,朝早く
softening,en,verb,/ˈsɔfənɪŋ/,ɔəʏm,softening,軟化,Nordrhein,de,noun,/ˈnɔɾtɾəɪn/,ɔəʏm,North Rhine,ノースライン
pehmennys,fi,verb,/ˈpehmennys/,øømyb,softening,軟化,prévéntif,id,noun,/preventif/,øømyb,Prévéntif,Prévéntif
sezieren,de,verb,/zeˈtsiːʁən/,øbyəm,dissect,分析します,respirăm,ro,verb,/respirəm/,øbyəm,breathe,息
disséquer,fr,verb,/diseke/,yøø,dissect,分析します,piede,eo,noun,/piede/,yøø,on foot,徒歩で
연결하다,ko,verb,/jʌ̹nɡjʌ̹ɾɦa̠da̠/,ɔmɔɶɶ,Interlink,インターリンク,afborgana,is,noun,/avpɔrkana/,ɶbɔɶɶ,repayment,返済
الاتصال,ar,verb,/aːlittisˤaːl/,ɶybyɶb,Connection,繋がり,지지학,ko,noun,/t͡ɕid͡ʑiɦa̠k̚/,bybyɶb,Support,サポート
avalancha,es,verb,/aβalaɲtʃa/,ɶɶɶmɶ,avalanche,雪崩,サラマンダー,ja,noun,/saɾamaɴdaː/,ɶɶɶmɶ,Salamander,サラマンダー
割合,ja,verb,/ɰᵝaɾiai/,ɶyɶy,ratio,割合,وبنادي,ar,noun,/wabinaːdiː/,ɶyɶy,And a club,そしてクラブ
kostumo,eo,verb,/kostumo/,obuo,costume,コスチューム,복부호,ko,adjective,/po̞k̚p͈uβo̞/,obuo,Abdominal,腹部
pakaian,id,verb,/pakaian/,ɶɶyɶm,clothes,服,chí tái chí tam,vi,noun,/ci˩˧ taj˩˧ ci˩˧ tam˧˥/,yɶyɶm,Chi tam,Chi Tam
ملابس,ar,verb,/malaːbis/,ɶɶyb,Clothes,服,a pa tít,vi,noun,/a˧˥ pa˧˥ tit˦˥/,ɶɶyb,A Pa Tit,Pa it
testa,sv,verb,/²t'ɛsːta/,œbɶ,test,テスト,패자,ko,noun,/pʰɛ̝d͡ʑa̠/,œbɶ,Loser,敗者
test,fr,verb,/tɛst/,œbb,test,テスト,krets,sv,noun,/krɛtːs/,œbb,circuit,回路
test,en,verb,/ˈtɛst/,œbb,test,テスト,mẹc,vi,noun,/mɛk˨ˀ˩ʔ/,œbb,MotherC,マザー
testata,fi,verb,/ˈtestɑtɑ/,øbɑɑ,test,テスト,ébranlant,fr,adjective,/ebʁɑ̃lɑ̃/,øbɑɑ,shocking,ショッキング
octave,fr,verb,/ɔktav/,ɔbɶb,octave,オクターブ,låtsas,sv,verb,/²l'ɔtːsas/,ɔbɶb,pretend,演じる
octave,en,verb,/ˈɑktɪv/,ɑbʏb,octave,オクターブ,laglig,sv,adjective,/²l'ɑːglɪg/,ɑbʏb,legal,法的
octava,es,adjective,/oktaβa/,obɶɶ,eighth,第8,bogdana,ro,noun,/boɡdana/,obɶɶ,BOGDAN,ボグダン
octavă,ro,adjective,/oktavə/,obɶə,octave,オクターブ,au bras de,fr,noun,/obʁadə/,obɶə,on the arm of,の腕に
oktav,sv,verb,/ɔkt'ɑːv/,ɔbɑb,octave,オクターブ,normandes,fr,noun,/nɔʁmɑ̃d/,ɔbɑb,Norman,ノーマン
aripă,ro,verb,/aripə/,ɶyə,wing,羽,大力士,zh-cn,noun,/ta˥˩ li˥˩ ʂɚ˥˩/,ɶyə,Higherie,Higherie
gammal,sv,adjective,/²g'amːal/,ɶɶb,old,年,ruabas,es,noun,/rwaβas/,ɶɶb,Ruabas,ruabas
vechi,ro,adjective,/vekʲ̩ʲ/,øyy,old,年,lelilí,es,verb,/leliˈli/,øyy,Lelilí,レリリ
cổ đại,vi,adjective,/ko˧˩˨ daj˨ˀ˩ʔ/,oɶb,ancient,古代,chauffards,fr,noun,/ʃofaʁ/,oɶb,drivers,運転手
计算,zh-cn,verb,/tɕi˥˩ swan˥˩/,byɶm,calculate,計算します,styrman,sv,noun,/st'yːrman/,byɶm,mate,メイト
calcular,es,verb,/kalkulaɾ/,ɶbuɶ,calculate,計算します,waktunya,id,noun,/waʔtuɲa/,ɶbuɶ,Time,時間
laskea,fi,verb,/ˈlɑskeɑ/,ɑbøɑ,calculate,計算します,remblayant,fr,noun,/ʁɑ̃blejɑ̃/,ɑbøɑ,backfilling,埋め戻し
calculate,en,verb,/ˈkæɫkjəˌɫeɪt/,æəøʏb,calculate,計算します,Gegengewicht,de,noun,/gəgəˈŋeːvɪçt/,əəøʏb,Counterweight,カウンターウェイト
militar,ro,adjective,/militar/,yyɶ,military,軍隊,chính qui hoá,vi,noun,/cin˩˧ wi˧˥ hwa˩˧/,yyɶ,formalization,形式化
militar,es,adjective,/militaɾ/,yyɶ,military,軍隊,pipinya,id,noun,/pipiɲa/,yyɶ,her cheek,彼女の頬
bermain,id,verb,/bərmain/,əɶym,play,遊ぶ,rejaillîmes,fr,noun,/ʁəʒajim/,əɶym,rejuilic,リジュイリック
spela,sv,verb,/²sp'eːla/,bøɶ,play,遊ぶ,spérma,id,noun,/sperma/,bøɶ,sperm,精子
leika,is,verb,/leiːka/,øyɶ,perform,実行,serviciar,es,verb,/seɾβiθjaɾ/,øyɶ,serve,仕える
abspielen,de,verb,/ˈʔapˌʃpiːlən/,ɶbyəm,play,遊ぶ,mạo tiếng,vi,verb,/maw˨ˀ˩ʔ tiəŋ˩˧/,ɶbyəm,pretend,演じる
pelata,fi,verb,/ˈpelɑtɑ/,øɑɑ,to be afraid,恐れること,mélangeant,fr,verb,/melɑ̃ʒɑ̃/,øɑɑ,mixing,混合
تحمل,ar,verb,/taħammala/,ɶɶmɶɶ,Bearing,ベアリング,blankarda,eo,adjective,/blankarda/,bɶmɶɶ,whitish,白っぽい
