request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,request_word_ja,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en,response_word_ja
schwören,de,verb,/ʃvøːʁən/,øəm,swear,誓う,mésem,id,noun,/mesəm/,øəm,mésem,メセム
ملتزم,ar,verb,/multazim/,ubɶym,committed,関与する,sultanin,ro,noun,/sultanin/,ubɶym,sultanas,ぶどう
kekal,id,verb,/kəkal/,əɶb,eternal,永遠,benoîtes,fr,verb,/bənwat/,əɶb,benoîtes,benoîtes
tuân thủ,vi,verb,/twɤ̆ŋ˧˥ tʰu˧˩˨/,omu,follow,従う,ombú,es,adjective,/oˈmbu/,omu,Ombú,オンブ
遵守,zh-cn,verb,/tsuən˥˥ ʂoʊ˨˩˦/,buəoʊ,obey,従う,mcmurdo,en,noun,/məkˈmɝdoʊ/,əbəoʊ,mcmurdo,マクマード
wisata,id,verb,/wisata/,yɶɶ,tour,旅行,rizarla,es,verb,/riθaɾla/,yɶɶ,curl it,カールします
kiertue,fi,verb,/ˈkiertue/,yøuø,tour,旅行,trémoussées,fr,adjective,/tʁemuse/,bøuø,tremored,震えた
sebelumnya,id,verb,/səbəlumɲa/,əəumɶ,previously,以前,lúa đứng cái,vi,noun,/luə˩˧ dɯŋ˩˧ kaj˩˧/,uəumɶ,rust,さび
foregoing,en,verb,/fɔɹˈɡoʊɪŋ/,ɔoʊʏm,foregoing,前述,炸油饼,zh-cn,noun,/ʈʂa˧˥ joʊ˧˥ pɪŋ˨˩˦/,ɶoʊʏm,Frying cake,揚げケーキ
successful,en,adjective,/səkˈsɛsfəɫ/,əbœbə,successful,成功,bekleckse,de,noun,/bəˈklɛkzə/,əbœbə,glossy,光沢
ناجح,ar,adjective,/naːdʒiħ/,ɶyb,successful,成功,navigue,fr,verb,/navig/,ɶyb,navigate,ナビゲートします
conducir,es,verb,/konduθiɾ/,omuy,ride,乗る,蒙古语,zh-cn,noun,/mɤŋ˨˩˦ ku˨˩˦ y˨˩˦/,omuy,Mongolian,モンゴル人
mengendarai,id,verb,/məŋəndarai/,əəmɶɶy,drive,ドライブ,네지마와시,ko,noun,/ne̞d͡ʑima̠wa̠ɕʰi/,øbyɶɶy,Nejima Washi,Nejima Washi
rajdi,eo,verb,/raidi/,ɶyy,ride,乗る,다리미,ko,noun,/ta̠ɾimi/,ɶyy,iron,鉄
