request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,request_word_ja,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en,response_word_ja
顧問,ja,adjective,/komoɴ/,oom,Advisor,顧問,tolón,es,noun,/toˈlon/,oom,tool,道具
diferencia,es,verb,/difeɾenθja/,yøømɶ,difference,違い,iredenta,eo,noun,/iredenta/,yøømɶ,Irredenta,Irredenta
lừa đảo,vi,verb,/lɯə˦˨ daw˧˩˨/,uəɶ,cheat,浮気,书本儿,zh-cn,noun,/ʂu˥˥ pən˨˩˦ aɻ˧/,uəɶ,Book,本
penipuan,id,verb,/pənipuan/,əyuɶm,fraud,詐欺,recirculan,es,verb,/reθiɾkulan/,øyuɶm,They recirculate,それらは再循環します
deafening,en,verb,/ˈdɛfənɪŋ/,œəʏm,deafening,耳をつんざく,Bächlein,de,noun,/ˈbɛçləɪn/,œəʏm,Brook,小川
震耳欲聋,zh-cn,verb,/ʈʂən˥˩ aɻ˨˩˦ y˥˩ lʊŋ˧˥/,əɶyʊm,Deafening,耳をつんざく,Programmierung,de,noun,/pʀoɡʀaˈmiːʀʊŋ/,oɶyʊm,programming,プログラミング
片面,zh-cn,verb,/pʰjɛn˥˩ mjɛn˥˩/,œmœm,One -sided,片側,phenfen,en,verb,/ˈfɛnˈfɛn/,œmœm,phenfen,フェンフェン
lopsided,en,verb,/ˈɫɑpˈsaɪdɪd/,ɑbɶʏʏb,lopsided,偏った,veigamikil,is,adjective,/veiːɣamɪːcɪl/,øyɶʏʏb,important,重要
asli,id,adjective,/asli/,ɶby,original,オリジナル,약시,ko,noun,/ja̠kɕ͈i/,ɶby,Vigor,活力
thổ dân,vi,adjective,/tʰo˧˩˨ jɤ̆ŋ˧˥/,oom,native,ネイティブ,aumône,fr,noun,/omon/,oom,alms,施し
يختار,ar,verb,/jaxtaːr/,ɶbɶ,Choose,選ぶ,Nacktarsch,de,noun,/ˈnaktaɾʃ/,ɶbɶ,Naked,裸
valita,fi,verb,/ˈvɑlitɑ/,ɑyɑ,care about,気をつけてください,Marita,de,noun,/ˈmɑːɾitɑ/,ɑyɑ,Marita,マリタ
elegir,es,verb,/elexiɾ/,øøy,to choose,選択する,degeli,eo,verb,/degeli/,øøy,melting,溶融
memilih,id,verb,/məmilih/,əyy,choose,選ぶ,măliniș,ro,noun,/məliniʃ/,əyy,Măliniş,マニシシュ
constante,es,adjective,/konstante/,ombɶmø,constant,絶え間ない,konstante,eo,,/konstante/,ombɶmø,permanently,永久に
مستمر,ar,adjective,/mustamirr/,ubɶy,continuous,連続,打っちゃり,ja,noun,/ɯtɕːaɾi/,ubɶy,Hitting,打っちゃり
konstan,id,adjective,/konstan/,ombɶm,constant,絶え間ない,동장,ko,noun,/to̞ŋd͡ʑa̠ŋ/,ombɶm,Ruin,破滅
aplastar,es,verb,/aplastaɾ/,ɶbɶbɶ,smash,スマッシュ,malvasta,eo,adjective,/malvasta/,ɶbɶbɶ,narrow,狭い
