request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en
引き継ぐ,ja,verb,/çikitsɯgɯ/,yybuu,take over,루빅큐브,ko,noun,/ɾubik̚kçjubɯ/,uybuu,Rubic Cube
威胁,zh-cn,verb,/weɪ˥˥ ɕjɛ˧˥/,øʏœ,Threat,bakeware,en,verb,/ˈbeɪˌkwɛɹ/,øʏœ,bakeware
玩具,zh-cn,verb,/wan˧˥ tɕy˥˩/,ɶmby,toy,danci,eo,verb,/dant͡si/,ɶmby,to dance
ムーディー,ja,adjective,/mɯːdeiː/,uøy,Moody,bucheri,ro,noun,/bukʲ̩eri/,uøy,cram
凉亭,zh-cn,verb,/ljɑŋ˧˥ tʰɪŋ˧˥/,ɑmʏm,Pavilion,blondin,en,adjective,/ˈbɫɑndɪn/,ɑmʏm,blondin
指控,zh-cn,verb,/ʈʂɚ˨˩˦ kʰʊŋ˥˩/,əʊm,Accusation,Bergung,de,noun,/bəˈɾgʊŋ/,əʊm,Salvage
头盔,zh-cn,verb,/tʰoʊ˧˥ kʰweɪ˥˥/,oʊøʏ,helmet,beaupre,en,noun,/boʊˈpɹeɪ/,oʊøʏ,beaupre
憎しみ,ja,adjective,/nikɯɕimi/,yuyy,hatred,adjudiki,eo,verb,/adjudiki/,ɶuyy,to adjudiki
愤怒,zh-cn,verb,/fən˥˩ nu˥˩/,əmu,anger,bengku,id,verb,/bəŋku/,əmu,Bengkulu
馅饼,zh-cn,verb,/ɕjɛn˥˩ pɪŋ˨˩˦/,œmʏm,pie,Henning,de,noun,/ˈhɛnnɪŋ/,œmʏm,Henning
团结,zh-cn,verb,/tʰwan˧˥ tɕjɛ˧˥/,ɶmbœ,Unity,감재,ko,noun,/ka̠md͡ʑɛ̝/,ɶmbœ,Mistress
