word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
memperbaiki,id,repair,修理,/məmpərbaiki/,əməɶyy,əm
community,en,community,コミュニティ,/kəmˈjunəti/,əmuəy,əm
menghanguskan,id,scorching,焼け付く,/məŋhaŋuskan/,əmɶubɶm,əm
pembajakan,id,piracy,著作権侵害,/pəmbadʒakan/,əmɶbɶɶm,əm
penglihatan,id,vision,ヴィジョン,/pəŋlihatan/,əmyɶɶm,əm
membosankan,id,boring,つまらない,/məmbosankan/,əmoɶmɶm,əm
membumbui,id,seasoned,味付け,/məmbumbui/,əmumuy,əm
pentahbisan,id,ordination,叙階,/pəntahbisan/,əmɶyɶm,əm
Benzinkosten,de,Gasoline,ガソリン,/bəˈntsɪŋkɔstən/,əmbʏmɔbəm,əm
măngălui,ro,mangle,マングル,/mənɡəlui/,əməuy,əm
săndulescu,ro,Săndulescu,sændulescu,/səndulesku/,əmuøbu,əm
人情味,zh-cn,Humanity,人類,/ʐən˧˥ tɕʰɪŋ˧˥ weɪ˥˩/,əmbbʏmøʏ,əm
神魂不定,zh-cn,Soul,魂,/ʂən˧˥ xuən˧˥ pu˧˥ tɪŋ˥˩/,əmuəmuʏm,əm
concerto,en,concerto,協奏曲,/kənˈtʃɛɹtoʊ/,əmbœoʊ,əm
computerland's,en,computerland's,コンピューターランド,/kəmˈpjutɝˌɫændz/,əmbuəæmbb,əm
contributor,en,contributor,貢献者,/kənˈtɹɪbjətɝ/,əmbʏbəə,əm
