,word,word_lang,word_pos,word_ipa,word_ipa_edited_vowel,word_en,next_word_index_verb,next_word_index_adjective,next_word_index_noun
0,heilen,de,noun,/ˈhaɪ̯lən/,ɶʏən,heal,724:1698:2216,,32:448:790:905:1038:1092:1171:1548:1559:1889:1959:1996:2737:3294:3430
1,Bären,de,noun,/ˈbɛːʀən/,œən,Bear,,,1364:1960:1966:2272:2516:2532
2,恐ろしい,ja,noun,/osoɾoɕii/,oooyy,That's horrible,,,1961
3,Banken,de,noun,/ˈbaŋkən/,ɶnən,Bank,2034:2109:2118:2475,2456:2468,534:657:842:1001:1093:1352:1872:1962:2173:2354:2408:2476:2559:2580:2655:2944:2991:3047:3227
4,银行,zh-cn,noun,/ɪn˧˥ xɑŋ˧˥/,ʏnɒn,bank,,,1051:1963:2001:2678:2963
5,銀行,ja,noun,/giɴkoɯ/,ynou,Bank,,,1296:1412:1964:2039:2043:2079:2238:2539:3010:3091
6,쇠똥,ko,noun,/sʰø̞t͈o̞ŋ/,øon,dross,,,1965:2888
7,バンプ,ja,noun,/baɴpɯ/,ɶnu,bump,,,147:411:877:885:1228:1326:1520:1967:2352:2384:2398:2583:2736:2742:3030:3262
8,근육,ko,noun,/kɯɲjuk̚/,unu,muscle,,2684,275:642:800:926:1968:2215:2549:2657
9,enttäuscht,de,noun,/ɛnˈtɔɪ̯ʃt/,œnɔʏ,disappointed,,,527:1969
10,描く,ja,noun,/egakɯ/,øɶu,Draw,,,1970
11,タイル,ja,verb,/taiɾɯ/,ɶyu,tile,3370,,1833:1971:2306:2789:3371
12,냄비,ko,noun,/nɛ̝mbi/,nœny,pot,2542,2391,96:457:1454:1602:1935:1972:2378:3111:3166:3216
13,lauten,de,noun,/ˈlaotən/,ɶoən,ring,,,1973:2168
14,末期,ja,noun,/makːi/,nɶy,Last stage,,,121:158:475:937:987:1290:1391:1592:1620:1664:1856:1903:1974:2072:2209:2333:2356:2406:2604:3006:3075:3229:3285
15,정당,ko,noun,/t͡ɕʌ̹ŋda̠ŋ/,ɔnɶn,party,161:2040:2250:3175:3218,509:2114,305:308:523:543:610:697:821:869:1215:1242:1288:1306:1426:1519:1521:1532:1535:1549:1601:1604:1615:1635:1653:1694:1753:1773:1804:1848:1906:1929:1975:2274:2445:2454:2483:2591:2621:2704:2946:3104:3174:3181:3281:3342:3359:3428
16,난파선,ko,noun,/na̠npʰa̠sʰʌ̹n/,nɶnɶɔn,wreck,,,1976:2036
17,破坏,zh-cn,noun,/pʰɔ˥˩ xuaɪ˥˩/,ɔuɶʏ,damage,,,1977:2239:2794
18,kecelakaan,id,noun,/kətʃəlakaʔan/,əəɶɶɶn,accident,1978:2606:3416,2573,123:338:485:827:1279:1336:1371:1830:1905:1981:2066:2074:2155:2170:2280:2346:2357:2469:2481:2574:2702:2783:2813:2893:2897:2931:2932:3002:3159:3205
19,심리,ko,noun,/ɕʰimni/,ynny,trial,,,1350:1979:2773:2957:3046:3365
20,千里,ja,noun,/seɴɾi/,øny,Thousand miles,,,1980:2157:2395:2903:3432
21,pengejaran,id,noun,/pəŋədʒaran/,ənəɶɶn,pursuit,1978:2606:3416,2573,123:338:485:827:1279:1336:1371:1830:1905:1981:2066:2074:2155:2170:2280:2346:2357:2469:2481:2574:2702:2783:2813:2893:2897:2931:2932:3002:3159:3205
22,무릎,ko,noun,/muɾɯp̚/,nuu,knee,,1982:3398,164:530:921:1221:1266:1410:1754:2116:2450:2762:2966:2994:3085
23,九重,ja,noun,/kokonoe/,oonoø,Nine,2526,,1008:1011:1668:1983:2826:2829:3260
24,エリス,ja,noun,/eɾisɯ/,øyu,Ellis,,508,605:1984:2515:2871
25,菱形,ja,noun,/çiɕigata/,yyɶɶ,Rhombus,1806:2969:3024,2822,246:1145:1226:1243:1317:1985:2008:2191:2290:2979:3156
26,Rhombus,de,noun,/ˈɾhɔmbus/,ɔnu,rhombus,,,441:684:1055:1562:1986:2381
27,마름모,ko,noun,/ma̠ɾɯmmo̞/,nɶunno,rhombus,,,1987:2482:2933
28,菱形,zh-cn,noun,/lɪŋ˧˥ ɕɪŋ˧˥/,ʏnʏn,diamond,2017:2623:3225,,990:1748:1988:2311:2835
29,kebodohan,id,,/kəbodohan/,əooɶn,ignorance,236:2143,2149,193:200:852:1233:1852:1899:1916:1989:2182:2307:2751:2976:3383:3418:3421
30,idola,en,noun,/ˌɪˈdoʊɫə/,ʏoʊə,idola,,,1990:2428
31,泰迪熊,zh-cn,noun,/tʰaɪ˥˩ ti˧˥ ɕjʊŋ˧˥/,ɶʏyʊn,Teddy bear,2894,,304:773:1651:1991
32,raven,en,noun,/ˈɹeɪvən/,øʏən,raven,2216,2846:3284,0:36:118:276:529:553:647:878:1038:1087:1709:1931:1992:3294
33,カラス,ja,noun,/kaɾasɯ/,ɶɶu,Crow,1993,2360,2353:2404:2491:2524:2647:2804
