,word,word_lang,word_pos,word_ipa,word_ipa_edited_vowel,word_en,next_word_index_verb,next_word_index_adjective,next_word_index_noun
0,heilen,de,noun,/ˈhaɪ̯lən/,ɶʏən,heal,649:1569:2012,,32:369:715:830:964:1018:1097:1429:1764:1835:1872:2561:3089:3231
1,Bären,de,noun,/ˈbɛːʀən/,œən,Bear,,,1291:1836:1842:2074:2329:2346
2,恐ろしい,ja,noun,/osoɾoɕii/,oooyy,That's horrible,,,1837
3,Banken,de,noun,/ˈbaŋkən/,ɶnən,Bank,1910:2285:2364:3187,2265:2277,456:581:767:926:1019:1279:1747:1838:1967:2160:2216:2287:2376:2397:2474:2773:2820:2876:3018
4,银行,zh-cn,noun,/ɪn˧˥ xɑŋ˧˥/,ʏnɒn,bank,,,977:1839:1877:2497:2792
5,銀行,ja,noun,/giɴkoɯ/,ynou,Bank,,,1223:1339:1840:1915:1919:2034:2071:2353:2839:2921
6,쇠똥,ko,noun,/sʰø̞t͈o̞ŋ/,øon,dross,,,1841:2716
7,バンプ,ja,noun,/baɴpɯ/,ɶnu,bump,,,332:802:810:1154:1253:1843:2158:2190:2205:2400:2560:2566:2859:3057
8,근육,ko,noun,/kɯɲjuk̚/,unu,muscle,,2503,186:566:725:851:1844:2011:2365:2476
9,enttäuscht,de,noun,/ɛnˈtɔɪ̯ʃt/,œnɔʏ,disappointed,,,449:1845
10,描く,ja,noun,/egakɯ/,øɶu,Draw,,,1846
11,タイル,ja,verb,/taiɾɯ/,ɶyu,tile,3170,,1706:1847:2109:2614:3171
12,냄비,ko,noun,/nɛ̝mbi/,nœny,pot,2356,2198,212:378:1382:1472:1810:1848:2184:2941:3006
13,lauten,de,noun,/ˈlaotən/,ɶoən,ring,,,1849:1961
14,末期,ja,noun,/makːi/,nɶy,Last stage,,,396:635:862:912:1217:1318:1462:1490:1535:1731:1778:1850:2004:2137:2162:2214:2422:2835:2905:3002:3020:3080
15,정당,ko,noun,/t͡ɕʌ̹ŋda̠ŋ/,ɔnɶn,party,1916:2048:3008,431,221:224:445:465:532:621:746:794:1141:1168:1215:1233:1353:1419:1471:1474:1485:1505:1524:1565:1626:1646:1677:1723:1781:1804:1851:2076:2254:2263:2294:2409:2440:2524:2775:2934:3076:3139:3157:3229
16,난파선,ko,noun,/na̠npʰa̠sʰʌ̹n/,nɶnɶɔn,wreck,,,1852:1912
17,破坏,zh-cn,noun,/pʰɔ˥˩ xuaɪ˥˩/,ɔuɶʏ,damage,,,1853:2035:2619
18,kecelakaan,id,noun,/kətʃəlakaʔan/,əəɶɶɶn,accident,1854:2424:3217,2390,254:407:752:1206:1263:1298:1703:1780:1857:1948:1963:2055:2082:2152:2163:2224:2278:2292:2391:2522:2608:2638:2721:2725:2760:2761:2831:2993:3160
19,심리,ko,noun,/ɕʰimni/,ynny,trial,,,1277:1855:2598:2786:2875:3165
20,千里,ja,noun,/seɴɾi/,øny,Thousand miles,,,1856:1950:2202:2732:3233
21,pengejaran,id,noun,/pəŋədʒaran/,ənəɶɶn,pursuit,1854:2424:3217,2390,254:407:752:1206:1263:1298:1703:1780:1857:1948:1963:2055:2082:2152:2163:2224:2278:2292:2391:2522:2608:2638:2721:2725:2760:2761:2831:2993:3160
22,무릎,ko,noun,/muɾɯp̚/,nuu,knee,,1858:3199,452:846:1147:1193:1337:1627:2259:2587:2795:2823:2915:3126
23,九重,ja,noun,/kokonoe/,oonoø,Nine,2339,,933:936:1539:1859:2651:2654:3055
24,エリス,ja,noun,/eɾisɯ/,øyu,Ellis,,430,527:1860:2328:2699
25,菱形,ja,noun,/çiɕigata/,yyɶɶ,Rhombus,1679:2798:2853,2647,157:1071:1152:1169:1244:1861:1884:1985:2092:2808:3156
26,Rhombus,de,noun,/ˈɾhɔmbus/,ɔnu,rhombus,,,362:608:981:1432:1862:2187
27,마름모,ko,noun,/ma̠ɾɯmmo̞/,nɶunno,rhombus,,,1863:2293:2762
28,菱形,zh-cn,noun,/lɪŋ˧˥ ɕɪŋ˧˥/,ʏnʏn,diamond,1893:2442:3016,,915:1621:1864:2114:2661
29,kebodohan,id,,/kəbodohan/,əooɶn,ignorance,147:1936,1942,104:111:777:1159:1727:1774:1791:1865:1976:2110:2576:2805:3183:3219:3222
30,idola,en,noun,/ˌɪˈdoʊɫə/,ʏoʊə,idola,,,1866:2237
31,泰迪熊,zh-cn,noun,/tʰaɪ˥˩ ti˧˥ ɕjʊŋ˧˥/,ɶʏyʊn,Teddy bear,2722,,220:698:1522:1867
