,word,word_lang,word_pos,word_ipa,word_ipa_edited_vowel,word_en,next_word_index_verb,next_word_index_adjective,next_word_index_noun
0,heilen,de,noun,/ˈhaɪ̯lən/,ɶʏən,heal,501:1292:1687,,32:568:683:818:874:954:1150:1438:1510:1547:2116:2589:2712
1,Bären,de,noun,/ˈbɛːʀən/,œən,Bear,,,1081:1511:1517:1749:2140
2,恐ろしい,ja,noun,/osoɾoɕii/,oooyy,That's horrible,,,1512
3,Banken,de,noun,/ˈbaŋkən/,ɶnən,Bank,1585:1894:1956:2661,1873:1885,379:620:780:875:1069:1411:1421:1513:1642:1835:1896:1940:2021:2188:2343:2411:2498:2513
4,银行,zh-cn,noun,/ɪn˧˥ xɑŋ˧˥/,ʏnɒn,bank,,,833:1514:1552:2045:2363
5,銀行,ja,noun,/giɴkoɯ/,ynou,Bank,,,1012:1129:1515:1590:1594:1709:1746:2371:2459
6,쇠똥,ko,noun,/sʰø̞t͈o̞ŋ/,øon,dross,,,1516:2283
7,バンプ,ja,noun,/baɴpɯ/,ɶnu,bump,,,332:655:663:1043:1518:1833:1943:2115:2121:2179:2392:2554
8,근육,ko,noun,/kɯɲjuk̚/,unu,muscle,,2052,186:578:704:1519:1686:2023
9,enttäuscht,de,noun,/ɛnˈtɔɪ̯ʃt/,œnɔʏ,disappointed,,,372:1520
10,描く,ja,noun,/egakɯ/,øɶu,Draw,,,1521
11,タイル,ja,verb,/taiɾɯ/,ɶyu,tile,2641,,1376:1522:1784:2173:2642
12,냄비,ko,noun,/nɛ̝mbi/,nœny,pot,2109,2715,212:1194:1485:1523:2241:2499
13,lauten,de,noun,/ˈlaotən/,ɶoən,ring,,,1524:1636
14,末期,ja,noun,/makːi/,nɶy,Last stage,,,487:715:766:1108:1184:1212:1258:1402:1452:1525:1679:1812:1837:1968:2441:2494:2515:2577
15,정당,ko,noun,/t͡ɕʌ̹ŋda̠ŋ/,ɔnɶn,party,1591:1723:2501,354,221:224:368:390:471:599:647:998:1022:1140:1193:1196:1207:1228:1247:1288:1356:1394:1455:1479:1526:1751:1862:1871:1904:1952:1986:2073:2345:2573:2710
16,난파선,ko,noun,/na̠npʰa̠sʰʌ̹n/,nɶnɶɔn,wreck,,,1527:1587
17,破坏,zh-cn,noun,/pʰɔ˥˩ xuaɪ˥˩/,ɔuɶʏ,damage,,,1528:1710:2178
18,kecelakaan,id,noun,/kətʃəlakaʔan/,əəɶɶɶn,accident,1529:1970:2692,1933,254:605:821:1053:1088:1373:1454:1532:1623:1638:1730:1757:1827:1838:1886:1902:1934:2071:2167:2200:2288:2292:2330:2331:2483:2693
19,심리,ko,noun,/ɕʰimni/,ynny,trial,,,1067:1530:2156:2357:2410:2635
20,千里,ja,noun,/seɴɾi/,øny,Thousand miles,,,1531:1625:2300:2714
21,pengejaran,id,noun,/pəŋədʒaran/,ənəɶɶn,pursuit,1529:1970:2692,1933,254:605:821:1053:1088:1373:1454:1532:1623:1638:1730:1757:1827:1838:1886:1902:1934:2071:2167:2200:2288:2292:2330:2331:2483:2693
22,무릎,ko,noun,/muɾɯp̚/,nuu,knee,,1533:2674,375:699:1004:1127:1357:1867:2145:2366:2453:2628
23,九重,ja,noun,/kokonoe/,oonoø,Nine,,,787:790:1262:1534:2213:2216:2552
24,エリス,ja,noun,/eɾisɯ/,øyu,Ellis,,353,1535:2264
25,菱形,ja,noun,/çiɕigata/,yyɶɶ,Rhombus,2386,2209,157:927:1034:1536:1559:1660:1767
26,Rhombus,de,noun,/ˈɾhɔmbus/,ɔnu,rhombus,,,458:837:1153:1537
27,마름모,ko,noun,/ma̠ɾɯmmo̞/,nɶunno,rhombus,,,1538:1903:2332
28,菱形,zh-cn,noun,/lɪŋ˧˥ ɕɪŋ˧˥/,ʏnʏn,diamond,1568:1988:2511,,769:1351:1539:1789:2224
29,kebodohan,id,,/kəbodohan/,əooɶn,ignorance,147:1611,1617,104:111:630:1398:1448:1465:1540:1651:1785:2133:2657:2695:2701
30,idola,en,noun,/ˌɪˈdoʊɫə/,ʏoʊə,idola,,,1541:2028
31,泰迪熊,zh-cn,noun,/tʰaɪ˥˩ ti˧˥ ɕjʊŋ˧˥/,ɶʏyʊn,Teddy bear,2289,,220:551:1245:1542
32,raven,en,noun,/ˈɹeɪvən/,øʏən,raven,1687,2235:2576,0:36:187:374:401:656:818:869:1307:1481:1543:2589
33,カラス,ja,noun,/kaɾasɯ/,ɶɶu,Crow,1544,1841,1834:1914:2013:2190:2193
34,掠夺,zh-cn,noun,/lɥœ˥˩ tuɔ˧˥/,œuɔ,plunder,,,1545
35,아래쪽,ko,noun,/a̠ɾɛ̝t͡ɕ͈o̞k̚/,ɶœo,Bottom,,,1546
36,dürfen,de,noun,/ˈdʏrfən/,ʏən,allowed to,501:1292:1687,,32:568:683:818:874:954:1150:1438:1510:1547:2116:2589:2712
37,downs,en,noun,/ˈdaʊnz/,ɶʊn,downs,,,251:1344:1548
38,松树,zh-cn,noun,/sʊŋ˥˥ ʂu˥˩/,ʊnu,pine,,,1549:1824
39,퇴색하다,ko,noun,/tʰø̞sʰɛ̝kʰa̠da̠/,øœɶɶ,Fade,,,1550
40,皮肉,ja,noun,/çinikɯ/,ynyu,Ironic,,,100:437:1551:1922:2233:2298
41,纵向,zh-cn,verb,/tsʊŋ˥˩ ɕjɑŋ˥˩/,ʊnɒn,Portrait,,,833:1514:1552:2045:2363
42,阁楼,zh-cn,adjective,/kɤ˧˥ loʊ˧˥/,ooʊ,attic,,,1553
43,屋根裏,ja,adjective,/janeɯɾa/,ɶnøuɶ,attic,,,1554:2560
44,Dachboden,de,adjective,/ˈdaxˌboːdən/,ɶoən,Loft,,,1524:1636
45,eilig,de,adjective,/ˈʔaɪ̯lɪç/,ɶʏʏ,hurried,1555,,606
46,虔诚,zh-cn,adjective,/tɕʰjɛn˧˥ ʈʂʰɤŋ˧˥/,œnon,Sincere,,1721,549:997:1556:1772:1826:1923:2196:2207
47,malforta,eo,adjective,/malforta/,nɶoɶ,weak,1720,1773,1557
48,서두르다,ko,noun,/sʰʌ̹duɾɯda̠/,ɔuuɶ,hurry,,1677,175:841:1558:2253:2372
49,脇腹,ja,noun,/ɰᵝakibaɾa/,ɶyɶɶ,flank,2386,2209,157:927:1034:1536:1559:1660:1767
50,没我的,ja,noun,/botsɯgateki/,ouɶøy,Selfish,,,906:1487:1560:1655:2053:2301:2717
51,교련,ko,noun,/kjoɾjʌ̹n/,oɔn,drilling,,,1561:2579
52,memilih,id,noun,/məmilih/,nənyy,choose,,1170,1562:1996:2538
53,elekti,eo,noun,/elekti/,øøy,choose,,,1563:2539
54,wählen,de,noun,/ˈvɛːlən/,œən,choose,,,1081:1511:1517:1749:2140
55,palmo,eo,noun,/palmo/,ɶno,Palm,,1062:2686,215:426:555:570:633:634:1564:1715:2032:2044:2094:2500:2698
56,medio,eo,,/medio/,nøyo,Environment,1989,1565,1483:2263:2713
57,의약품,ko,,/ɰija̠k̚pʰum/,yɶun,medicine,1238,,1054:1492:1566:1935:2296:2382:2402:2680
58,첨탑,ko,noun,/t͡ɕʰʌ̹mtʰa̠p̚/,ɔnɶ,spire,,1628,1567
59,冥王星,zh-cn,noun,/mɪŋ˧˥ wɑŋ˧˥ ɕɪŋ˥˥/,nʏnɒnʏn,Pluto,1568:1988:2511,,769:1351:1539:1789:2224
60,Plutono,eo,noun,/plutono/,uono,Pluto,,,155:189:846:1569:1658:1685:1690:2259
61,명왕성,ko,noun,/mjʌ̹ŋwa̠ŋsʰʌ̹ŋ/,nɔnɶnɔn,Pluto,1605,,116:1130:1570:1622:1688:1704:2640
62,冥王星,ja,noun,/meioɯsei/,nøyouøy,Pluto,1571:1668,,804:989:1811:1840:2226:2276:2354
63,Schreibtische,de,noun,/ˈʃɾaeptɪʃə/,ɶøʏə,Desks,,,391:1334:1572
64,デスク,ja,noun,/desɯkɯ/,øuu,desk,,,1573:2077:2078
65,书桌,zh-cn,noun,/ʂu˥˥ ʈʂuɔ˥˥/,uuɔ,desk,,,1574
66,책상,ko,noun,/t͡ɕʰɛ̝ks͈a̠ŋ/,œɶn,desk,,,1301:1575:2061
67,융합,ko,noun,/juŋɦa̠p̚/,unɶ,fusion,,,422:545:816:1576:1678:1857:2024:2234:2258:2444
68,analysieren,de,noun,/ˈʔanʔɑlyˈziːɾen/,ɶnɒyyøn,analyze,,1508:2519,497:519:1141:1577:1689:1998:2041:2731
