,word,collocation_id,collocation_word,collocation_relation
0,blue,3095817,blue eye,N:mod:A
1,blue,3095818,blue sky,N:nn:N
2,blue,3095819,blue water,N:mod:A
3,blue,3095820,pale blue,N:mod:A
4,blue,3095821,navy blue,N:nn:N
5,blue,3095822,deep blue,N:mod:A
6,blue,3095823,blue light,N:mod:A
7,blue,3095824,light blue,N:mod:A
8,blue,3095825,blue of the sky,N:prep:N
9,blue,3095826,blue coat,N:mod:A
10,blue,3095827,blue shirt,N:mod:A
11,blue,3095828,shade of blue,N:prep:N
12,blue,3095829,blue sea,N:mod:A
13,blue,3095830,blue uniform,N:mod:A
14,blue,3095831,blue background,N:mod:A
15,blue,3095832,blue smoke,N:mod:A
16,blue,3095833,sky blue,N:nn:N
17,blue,3095834,blue jacket,N:mod:A
18,blue,3095835,blue moon,N:nn:N
19,blue,3095836,little blue,A:mod:A
20,blue,3095837,blue stripe,N:mod:A
21,blue,3095838,blue flame,N:mod:A
22,blue,3095839,blue dress,N:mod:A
23,blue,3095840,blue book,N:nn:N
24,blue,3095841,bright blue,N:mod:A
25,blue,3095842,blue musician,N:nn:N
26,blue,3095843,blue singer,N:nn:N
27,blue,3095844,blue flower,N:mod:A
28,blue,3095845,blue line,N:mod:A
29,blue,3095846,to wear blue,V:obj:N
30,blue,3095847,blue bird,N:nn:N
31,blue,3095848,blue color,N:mod:A
32,blue,3095849,blue line,N:nn:N
33,blue,3095850,blue plaque,N:mod:A
34,blue,3095851,blue silk,N:mod:A
35,blue,3095852,blue band,N:nn:N
36,blue,3095853,blue suit,N:mod:A
37,blue,3095854,blue note,N:nn:N
38,blue,3095855,blue guitarist,N:nn:N
39,blue,3095856,blue jacket,N:nn:N
40,blue,3095857,blue cloth,N:mod:A
41,blue,3095858,blue flag,N:nn:N
42,blue,3095859,blue music,N:nn:N
43,blue,3095860,blue haze,N:mod:A
44,blue,3095861,blue serge,N:mod:A
45,blue,3095862,blue angel,N:nn:N
46,blue,3095863,blue blouse,N:mod:A
47,blue,3095864,blue mountain,N:nn:N
48,blue,3095865,blue sky,N:mod:A
49,blue,3095866,blue jersey,N:mod:A
50,blue,3095867,blue hill,N:mod:A
51,blue,3095868,to turn blue,V:obj:N
52,blue,3095869,rhapsody in blue,N:prep:N
53,blue,3095870,blue blood,N:nn:N
54,blue,3095871,blue heaven,N:mod:A
55,blue,3095872,bolt from the blue,N:prep:N
56,blue,3095873,blue trouser,N:mod:A
57,blue,3095874,blue mountain,N:mod:A
58,blue,3095875,blue gown,N:mod:A
59,blue,3095876,blue song,N:nn:N
60,blue,3095877,blue colour,N:mod:A
61,blue,3095878,blue butterfly,N:mod:A
62,blue,3095879,long blue,A:mod:A
63,blue,3095880,blue star,N:nn:N
64,blue,3095881,blue velvet,N:mod:A
65,blue,3095882,blue stone,N:nn:N
66,blue,3095883,blue brother,N:nn:N
67,blue,3095884,house of blue,N:prep:N
68,blue,3095885,blue bomber,N:nn:N
69,blue,3095886,blue cult,N:mod:A
70,blue,3095887,blue as the sky,N:prep:N
71,blue,3095888,blue paper,N:mod:A
72,blue,3095889,clear blue,N:mod:A
73,blue,3095890,painted blue,N:mod:A
74,blue,3095891,blue pencil,N:mod:A
75,blue,3095892,sky of blue,N:prep:N
76,blue,3095893,blue vein,N:mod:A
77,blue,3095894,blue sash,N:mod:A
78,blue,3095895,blue stocking,N:mod:A
79,blue,3095896,blue cloak,N:mod:A
80,blue,3095897,blue frock,N:mod:A
81,blue,3095898,blue colour,V:subj:N
82,blue,3095899,blue overall,N:mod:A
83,blue,3095900,blue cheese,N:nn:N
84,blue,3095901,blue artist,N:nn:N
85,blue,3095902,baby blue,N:nn:N
86,blue,3095903,man in blue,N:prep:N
87,blue,3095904,blue satin,N:mod:A
88,blue,3095905,boy in blue,N:prep:N
89,blue,3095906,blue envelope,N:mod:A
90,blue,3095907,eye of blue,N:prep:N
91,blue,3095908,blue lotus,N:nn:N
92,blue,3095909,blue represent,V:subj:N
93,blue,3095910,blue livery,N:mod:A
94,blue,3095911,blue skirt,N:mod:A
95,blue,3095912,blue lake,N:mod:A
96,blue,3095913,blue glass,N:mod:A
97,blue,3095914,blue chip,N:nn:N
98,blue,3095915,blue shadow,N:mod:A
99,blue,3095916,blue traveler,N:nn:N
100,blue,3095917,general in blue,N:prep:N
101,blue,3095918,blue ones,N:mod:A
102,blue,3095919,blue bead,N:mod:A
103,blue,3095920,blue apron,N:mod:A
104,blue,3095921,brilliant blue,N:mod:A
105,blue,3095922,blue diamond,N:mod:A
106,blue,3095923,azure blue,N:mod:A
107,blue,3095924,blue cap,N:mod:A
108,blue,3095925,patch of blue,N:prep:N
109,blue,3095926,blue bonnet,N:mod:A
110,blue,3095927,blue field,N:mod:A
111,blue,3095928,pretty blue,A:mod:A
112,blue,3095929,delta blue,N:nn:N
113,blue,3095930,blue album,N:nn:N
114,blue,3095931,rear admiral of the blue,N:prep:N
115,blue,3095932,to dress in blue,V:prep:N
116,blue,3095933,turquoise blue,N:nn:N
117,blue,3095934,blue bull,N:nn:N
118,blue,3095935,intense blue,N:mod:A
119,blue,3095936,blue ocean,N:mod:A
120,blue,3095937,blue of eye,N:prep:N
121,blue,3095938,electric blue,N:mod:A
