request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en
靴下,ja,noun,/kɯtsɯɕita/,uuyɶ,socks,abubilla,es,noun,/aβuβiʎa/,ɶuyɶ,hoopoe
Socken,de,noun,/ˈzɔkən/,ɔən,Socks,alben,en,noun,/ˈɔɫbən/,ɔən,alben
양말,ko,noun,/ja̠ŋma̠ɭ/,ɶnnɶ,Amount - say,anmachst,de,noun,/ˈʔanˌmaxst/,ɶnnɶ,oppose
誇張,ja,noun,/kotɕoɯ/,oou,Exaggeration,bolotu,id,noun,/bolotu/,oou,Bolotu
송곳니,ko,noun,/sʰo̞ŋɡo̞nni/,ononny,canine,トントンミ,ja,noun,/toɴtoɴmi/,ononny,Tontonmi
taring,id,noun,/tariŋ/,ɶyn,Caning,afín,es,adjective,/aˈfin/,ɶyn,related
튀김,ko,noun,/tʰɥiɡim/,yyn,fried food,１０進,ja,noun,/dʑiɕːiɴ/,yyn,Decimal
吹嘘,zh-cn,verb,/ʈʂʰweɪ˥˥ ɕy˥˥/,øʏy,Boast,deskriptiv,de,noun,/deskʀɪpˈtiːf/,øʏy,descriptive
schmusen,de,noun,/ˈʃmuːzən/,nuən,cuddle,ajutăm,ro,noun,/aʒutəm/,ɶuən,help
Letten,de,noun,/ˈlkɛtən/,œən,Lett up,切诊,zh-cn,noun,/tɕʰjɛ˥˩ ʈʂən˨˩˦/,œən,Consultation
animi,eo,noun,/animi/,ɶnyny,animate,고해비밀,ko,adjective,/ko̞ɦɛ̝bimiɭ/,oœyny,High-end secrets
叹息,zh-cn,noun,/tʰan˥˩ ɕi˥˥/,ɶny,sigh,amir,es,noun,/amiɾ/,ɶny,amir
mendesah,id,noun,/məndəsah/,nənəɶ,sigh,astâmpăra,ro,noun,/astɨmpəra/,ɶʉnəɶ,appease
한숨,ko,noun,/ha̠nsʰum/,ɶnun,sigh,あん分,ja,noun,/aɴbɯɴ/,ɶnun,Choice
黑暗,zh-cn,noun,/xeɪ˥˥ an˥˩/,øʏɶn,dark,Beilagen,de,noun,/ˈbaɪ̯laːɡŋ̩/,ɶʏɶn,Side dishes
erbärmlich,de,noun,/ʔɛːɐˈbɛɾmlɪç/,œɐœnʏ,miserable,academic,en,adjective,/ˌækəˈdɛmɪk/,æəœnʏ,academic
스마트,ko,noun,/sʰɯma̠tʰɯ/,unɶu,smart,andaluz,es,adjective,/andaluθ/,ɶnɶu,Andalusian
berputar,id,noun,/bərputar/,əuɶ,Spinning,behutsam,de,noun,/bəˈhuːtzaːl/,əuɶ,careful
旋转,zh-cn,noun,/ɕɥœn˧˥ ʈʂwan˨˩˦/,œnɶn,Rotate,あんさん,ja,noun,/aɴsaɴ/,ɶnɶn,Anan
wirbeln,de,noun,/ˈvɪɾbɛln/,ʏœn,swirl,befriend,en,noun,/bɪˈfɹɛnd/,ʏœn,befriend
회전,ko,noun,/hø̞d͡ʑʌ̹n/,øɔn,rotation,Beton,de,noun,/beˈtɔŋ/,øɔn,concrete
言葉,ja,noun,/ketoba/,øoɶ,word,bellota,es,noun,/beʎota/,øoɶ,acorn
Balsam,de,noun,/ˈbalzaːm/,ɶɶn,balm,abang,id,noun,/abaŋ/,ɶɶn,Abang
안녕,ko,noun,/a̠nɲjʌ̹ŋ/,ɶnnɔn,Hi,Aktienfonds,de,noun,/ˈʔaktiːnfɔnts/,ɶynɔn,Stock fund
ドライブ,ja,noun,/doɾaibɯ/,oɶyu,drive,打下基础,zh-cn,verb,/ta˨˩˦ ɕja˥˩ tɕi˥˥ ʈʂʰu˨˩˦/,ɶɶyu,lay the foundation
드라이브,ko,noun,/tɯɾa̠ibɯ/,uɶyu,drive,calatidiu,ro,noun,/kalatidju/,ɶɶyu,Calatidium
mendorong,id,noun,/məndoroŋ/,nənoon,push,おほんおっほん,ja,noun,/ohoɴohːoɴ/,oonoon,Oonhon
누설,ko,noun,/nusʰʌ̹ɭ/,nuɔ,Leakage,Nudelholz,de,noun,/ˈnuːdl̩hɔlts/,nuɔ,Noodle wood
漏れる,ja,noun,/moɾeɾɯ/,noøu,Leak,Bauberuf,de,noun,/ˈbaobeɾuf/,ɶoøu,Buildup
undicht,de,noun,/ˈʔʊnˌdɪçt/,ʊnʏ,leaky,booksmith,en,noun,/ˈbʊksˌmɪθ/,ʊnʏ,booksmith
早く,ja,noun,/hajakɯ/,ɶɶu,quickly,abajur,ro,noun,/abaʒur/,ɶɶu,lampshade
einleiten,de,noun,/ˈʔaenˈləiːtən/,ɶønəyən,initiate,albanian,en,adjective,/æɫˈbeɪniən/,æøʏnyən,albanian
誓い,ja,noun,/tɕikai/,yɶy,Vow,Didaktik,de,noun,/ˈdiːdaktik/,yɶy,didactics
购买,zh-cn,noun,/koʊ˥˩ maɪ˨˩˦/,oʊnɶʏ,buy,actinide,en,noun,/ˈæktɪˌnaɪd/,æʏnɶʏ,actinide
구매,ko,noun,/kumɛ̝/,unœ,purchase,扑灭,zh-cn,verb,/pʰu˥˥ mjɛ˥˩/,unœ,put out
pembelian,id,noun,/pəmbəlian/,ənəyɶn,purchase,agonizant,ro,verb,/aɡonizant/,ɶonyɶn,agonizing
树木,zh-cn,noun,/ʂu˥˩ mu˥˩/,unu,Trees,구물,ko,noun,/kumuɭ/,unu,Trees
布団,ja,noun,/ɸɯtoɴ/,uon,futon,blusón,es,noun,/bluˈson/,uon,smock
お守り,ja,noun,/omamoɾi/,onɶnoy,Amulet,有案可稽,zh-cn,noun,/joʊ˨˩˦ an˥˩ kʰɤ˨˩˦ tɕi˥˥/,oʊɶnoy,Case
jenaka,id,noun,/dʒənaka/,ənɶɶ,Often,anpassbar,de,adjective,/ˈʔanpassˈbaɽ/,ɶnɶɶ,customizable
생식선,ko,noun,/sʰɛ̝ŋɕʰiks͈ʌ̹n/,œnyɔn,gonad,joffrion,en,noun,/joʊfɹiˈɔn/,oʊyɔn,joffrion
脛当て,ja,noun,/sɯneate/,unøɶø,Grinder,aalexoaiei,ro,noun,/aaleksŏajej/,ɶɶøɶø,aalexoaiei
angesagt,de,noun,/ʔangəˈzakt/,ɶnəɶ,"hip, trendy, popular",armăsar,ro,noun,/arməsar/,ɶnəɶ,stallion
或いは,ja,noun,/aɾɯiha/,ɶuyɶ,Or,diskutierbar,de,adjective,/dɪskutiːɾˈbaɽ/,ʏuyɶ,discussable
ぐるみ,ja,noun,/gɯɾɯmi/,uuny,Turning,가든히,ko,noun,/ka̠dɯnʝi/,ɶuny,Garden
