request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en
penjara,id,noun,/pəndʒara/,ənɶɶ,jail,almadia,es,noun,/almaðja/,ɶnɶɶ,raft
Gefängnisse,de,noun,/ɡəˈfɛŋnɪsə/,əœnnʏə,Prisons,baudendistel,en,noun,/ˈbaʊdɪndɪstəɫ/,ɶʊʏnʏə,baudendistel
감옥,ko,noun,/ka̠mo̞k̚/,ɶno,prison,amoc,ro,noun,/amok/,ɶno,amok
监狱,zh-cn,noun,/tɕjɛn˥˥ y˥˩/,œny,prison,개미,ko,noun,/kɛ̝mi/,œny,ant
刑務所,ja,noun,/keimɯɕo/,øynuo,prison,areknukso,eo,noun,/areknukso/,ɶønuo,Areknugx
咖啡馆,zh-cn,noun,/kʰa˥˥ feɪ˥˥ kwan˨˩˦/,ɶøʏɶn,coffee shop,Absatzrückgang,de,noun,/ˈʔapˌzatsɾʏkgaŋ/,ɶɶʏɶn,Sales decline
浮気,ja,noun,/ɯɰᵝaki/,uɶy,Flirt,buai,id,noun,/buai/,uɶy,Luai
rapida,eo,noun,/rapida/,ɶyɶ,fast,Adria,de,adjective,/ˈaːdʁia/,ɶyɶ,Adriatic
迅速,ja,noun,/dʑiɴsokɯ/,ynou,Quick,고모부,ko,noun,/ko̞mo̞bu/,onou,Uncle
迅速,zh-cn,noun,/ɕyn˥˩ su˥˩/,ynu,rapid,bismut,ro,noun,/bismut/,ynu,bismuth
빠른,ko,noun,/p͈a̠ɾɯn/,ɶun,fast,abun,id,noun,/abun/,ɶun,Abun
melekat,id,verb,/mələkat/,nəəɶ,Oking,acățăra,ro,verb,/akətsəra/,ɶəəɶ,Cathered
奇怪,zh-cn,,/tɕʰi˧˥ kuaɪ˥˩/,yuɶʏ,strange,dui,en,noun,/ˈdiˈjuˈaɪ/,yuɶʏ,dui
seltsam,de,,/ˈzɛltˌzaːm/,œɶn,strange,개간,ko,noun,/kɛ̝ɡa̠n/,œɶn,Dog
Geschmack,de,noun,/ɡəˈʃmak/,ənɶ,taste,人家,zh-cn,noun,/ʐən˧˥ tɕja˥˥/,ənɶ,People
品尝,zh-cn,noun,/pʰɪn˨˩˦ ʈʂʰɑŋ˧˥/,ʏnɒn,taste,algernon,en,noun,/ˈæɫdʒɝnɑn/,ænɒn,algernon
규모,ko,noun,/kjumo̞/,uno,Scale,bruñió,es,noun,/bɾuˈɲjo/,uno,Bruñió
规模,zh-cn,noun,/kweɪ˥˥ mɔ˧˥/,øʏnɔ,scale,allendorf,en,noun,/ˈæɫɪndɔɹf/,æʏnɔ,allendorf
Rahmen,de,noun,/ˈʁaːmən/,ɶnən,frame,ackerman,en,noun,/ˈækɝmən/,ænən,ackerman
bated,en,verb,/ˈbeɪtɪd/,øʏʏ,bated,ehrfürchtig,de,noun,/ˈʔeɾfʏɾtstɪç/,øʏʏ,awful
tertahan,id,verb,/tərtahan/,əɶɶn,Stone,呐喊,zh-cn,noun,/na˥˩ xan˨˩˦/,nɶɶn,Shout
Wunder,de,noun,/ˈvʊndəʁ/,ʊnə,wonder,bluemel,en,noun,/ˈbɫʊməɫ/,ʊnə,bluemel
홍조,ko,noun,/ɸʷo̞ŋd͡ʑo̞/,ono,flushing,biombo,es,noun,/bjombo/,ono,screen
remis,en,noun,/ˈɹeɪmiz/,øʏny,remis,下星期,zh-cn,adjective,/ɕja˥˩ ɕɪŋ˥˥ tɕʰi˥˥/,ɶʏny,Next week
remis,id,noun,/rəmis/,əny,Remis,人体,zh-cn,adjective,/ʐən˧˥ tʰi˨˩˦/,əny,human body
steigen,de,noun,/ˈʃtaɪ̯ɡən/,ɶʏən,climb,abelson,en,noun,/ˈæbɪɫsən/,æʏən,abelson
