,word,word_lang,word_pos,word_ipa,word_ipa_edited_vowel,word_en,next_word_index_verb,next_word_index_adjective,next_word_index_noun
0,青い,ja,adjective,/aoi/,ɶoy,blue,,1601,942:1003:1832:1853
1,reeks,en,verb,/ˈɹiks/,ypϕ,reeks,,,1004:1169:1364:1365:1641
2,mulch,en,verb,/ˈməɫtʃ/,məp,mulch,,,1005
3,덫,ko,adjective,/tʌ̹t̚/,pɔp,trap,,,1006
4,schreie,de,adjective,/ʃˈɾəiː/jə/,əyə,scream,,,1007
5,wanna,en,verb,/ˈwɑnə/,rɒmə,wanna,1008,,
6,연기,ko,verb,/jʌ̹nɡi/,ɔmy,Acting,,,1009:1086
7,known,en,verb,/ˈnoʊn/,moʊm,known,,1053:1102:1255,1010:1024
8,摆,zh-cn,verb,/paɪ˨˩˦/,pɶʏ,put,,,1011
9,불행,ko,adjective,/puɾɦɛ̝ŋ/,puœm,Unhappiness,,,1012:1277:1592
10,무릎,ko,verb,/muɾɯp̚/,muup,knee,745:1013:1521,,1236
11,난로,ko,verb,/na̠ɭɭo̞/,mɶo,Fireplace,,,1014:1194:1251
12,ahnt,de,verb,/ˈʔɑnt/,bɒmp,ahn,86,1015,
13,刈る,ja,verb,/kaɾɯ/,pɶu,mow,,645,1016:1088:1195
14,reaps,en,verb,/ˈɹips/,ypϕ,reaps,,,1004:1169:1364:1365:1641
15,uap,id,adjective,/uap/,uɶp,steam,1071,,1017:1396
16,seamy,en,adjective,/ˈsimi/,ϕymy,seamy,612:1220,142:1299,1018:1148:1693
17,borne,en,verb,/ˈbɔɹn/,bɔm,borne,,,1019
18,giddy,en,adjective,/ˈɡɪdi/,ʏy,giddy,,,1020
19,shine,en,verb,/ˈʃaɪn/,ɶʏm,shine,1531,,1021
20,輝く,ja,verb,/kagajakɯ/,ɶɶɶu,Shine,,,1022:1591:1677
21,ilia,eo,adjective,/ilia/,yyɶ,their,,,1023:1794
22,known,en,verb,/ˈnoʊn/,oʊm,known,,1053:1102:1255,1010:1024
23,freŝa,eo,adjective,/freʃa/,ϕøɶ,fresh,1490,,1025
24,흥분,ko,adjective,/xɯŋbun/,umum,excitement,1026,,
25,兴,zh-cn,verb,/ɕɪŋ˥˥/,ʏm,Be,278:563,,1027:1233:1281
26,ethos,en,verb,/ˈiθɑs/,yɑϕ,ethos,,,1028
27,schälen,de,verb,/ˈʃɛːlən/,œəm,peel,,443:1594,1029
28,magio,eo,adjective,/magio/,ɶyo,magic,,,1030
29,anregen,de,verb,/ˈʔanˌɾeːgən/,ɶøəm,stimulate,,,1031:1341
30,swell,en,verb,/ˈswɛɫ/,ϕœ,swell,,,1032
31,sills,en,verb,/ˈsɪɫz/,ʏβ,sills,,,1033
32,寝る,ja,verb,/neɾɯ/,øu,sleep,672,1649,1034:1470
33,sagar,en,adjective,/sɑˈɡɑɹ/,ɑɑ,sagar,,,1035
34,asin,id,adjective,/asin/,ɶym,salty,571,150,1036:1058:1555
35,보지,ko,adjective,/po̞d͡ʑi/,oby,Pussy,692:1078,73,1037:1319
36,lihat,id,verb,/lihat/,yɶp,see,98:1038,,1104:1448:1564
37,감옥,ko,verb,/ka̠mo̞k̚/,ɶop,prison,1048:1597:1746,1039,
38,gemuk,id,verb,/gəmuʔ/,əub,fat,1040:1497,,
39,porky,en,verb,/ˈpɔɹki/,ɔy,porky,535,,1041:1418
40,foggy,en,adjective,/ˈfɑɡi/,ɑy,foggy,,,1042
41,지우,ko,verb,/t͡ɕiu/,pyu,Jiwoo,705,,1043:1684
42,潮湿,zh-cn,adjective,/ʈʂʰɑʊ˧˥ ʂɚ˥˥/,ɑʊə,Wet,,,1044:1543
43,feign,en,adjective,/ˈfeɪn/,øʏm,feign,,,1045:1764
44,지도,ko,verb,/t͡ɕido̞/,pyo,map,,,1046
45,发射,zh-cn,verb,/fa˥˥ ʂɤ˥˩/,ɶo,emission,1047,225:423,1232:1421:1523
46,발톱,ko,verb,/pa̠ɭtʰo̞p̚/,ɶop,toenail,1048:1597:1746,1039,
47,焼く,ja,verb,/jakɯ/,ɶu,Bake,292:650:747:760:1295:1417,569:1149:1371,1049:1271:1636:1728
48,dwelt,en,verb,/ˈdwɛɫt/,bœp,dwelt,636:1050,,1626
49,粗い,ja,adjective,/aɾai/,ɶɶy,rough,,,1051:1224:1439:1518:1524:1584:1617:1683
50,kasar,id,adjective,/kasar/,ɶɶr,Rough,,1052:1696,
51,tease,en,verb,/ˈtiz/,yβ,tease,1054,,1230
52,逗,zh-cn,verb,/toʊ˥˩/,oʊ,tease,,,1055
53,泳ぐ,ja,verb,/ojogɯ/,oou,swim,1526,,1056:1533
54,바다,ko,adjective,/pa̠da̠/,ɶɶ,Sea,,,1057:1455:1681:1747
55,stude,en,verb,/ˈstud/,ϕub,stude,,,1059
56,mealy,en,adjective,/ˈmiɫi/,yy,mealy,,1433,1060:1479:1486:1679
57,ramus,en,verb,/ˈɹeɪməs/,øʏəϕ,ramus,,1061,
58,tardy,en,adjective,/ˈtɑɹdi/,ɑy,tardy,,,1042
59,叱る,ja,verb,/ɕikaɾɯ/,yɶu,Scold,,1504,1062:1631
60,tweed,en,verb,/ˈtwid/,pyb,tweed,,,1063
61,团结,zh-cn,verb,/tʰwan˧˥ tɕjɛ˧˥/,pɶmpœ,Unity,,,1064:1250:1658
62,bersatu,id,verb,/bərsatu/,ərɶu,unite,403,1065,
63,dwelt,en,verb,/ˈdwɛɫt/,brœp,dwelt,1066,,1132
64,미라,ko,adjective,/miɾa̠/,myɶ,Mummy,,,1067:1075:1659
65,가하다,ko,adjective,/ka̠ɦa̠da̠/,pɶɶbɶ,inflict,711,,1068:1689
66,meriah,id,verb,/məriah/,məryɶr,rousing,,1487:1716,1069
67,bati,eo,verb,/bati/,bɶpy,beat,1763,96:801:805,1070
68,dulce,en,verb,/ˈdəɫs/,bəϕ,dulce,,,1072
69,흠,ko,verb,/xɯm/,ϕum,Hmm,,,1073
70,hench,en,verb,/ˈhɛntʃ/,rœmp,hench,281,,1074:1265
71,보리,ko,verb,/po̞ɾi/,poy,barley,,,1076
72,hobby,en,adjective,/ˈhɑbi/,rɒby,hobby,,,1077
73,hobi,id,adjective,/hobi/,roby,hobby,692:1078,35:312,1037:1319
74,eaten,en,verb,/ˈitən/,ypəm,eaten,181:797,,1079:1187
75,绫,zh-cn,verb,/lɪŋ˧˥/,lʏm,Thin silk,,,1080
76,루트,ko,verb,/ɾutʰɯ/,upu,root,,,1081:1670
77,脊,zh-cn,verb,/tɕi˧˥/,pϕy,ridge,,,1082:1668
78,맛,ko,adjective,/ma̠t̚/,mɶp,flavor,475:1323,1444,1083:1466
79,兴,zh-cn,verb,/ɕɪŋ˥˥/,ϕʏm,Be,1084,,
80,弱い,ja,adjective,/joɰᵝai/,oɶy,weak,703,1680,1085
81,거미,ko,adjective,/kʌ̹mi/,pɔmy,Spider,,,1009:1086
82,둥이,ko,verb,/tuŋi/,pumy,Round,1087,,1314
83,mourn,en,verb,/ˈmɔɹn/,mɔm,mourn,,,1089:1121
84,Beere,de,adjective,/ˈbeːʁə/,bøβə,berry,,1090,
85,saucy,en,verb,/ˈsɔsi/,ϕɔϕy,saucy,,,1091
86,conch,en,verb,/ˈkɑntʃ/,pɒmp,conch,12:1092,,
87,hoops,en,verb,/ˈhups/,rupϕ,hoops,,,1093:1669
88,nazo,eo,adjective,/nazo/,mɶβo,nose,,,1094
89,rinks,en,verb,/ˈɹɪŋks/,ʏmpϕ,rinks,,,1095
90,흑인,ko,verb,/xɯɡin/,ϕuym,black,1345,,1096:1263:1571:1647
91,나모,ko,verb,/na̠mo̞/,mɶmo,Namo,,,1097
92,rubel,en,verb,/ˈɹubəɫ/,ubə,rubel,,,1098
93,给,zh-cn,verb,/keɪ˨˩˦/,pøʏ,give,97,,1099:1411
94,tinggi,id,adjective,/tiŋgi/,pymby,high,,,1100:1179
95,foret,en,adjective,/ˈfɔɹɛt/,ϕɔœp,foret,,,1101:1472
96,亡き,ja,adjective,/naki/,mɶpy,late,67:1763,,1070
97,crail,en,verb,/ˈkɹeɪɫ/,pøʏ,crail,93:415:1103,,
98,기갑,ko,verb,/kiɡa̠p̚/,pyɶp,Armor,36:1038,392:450,1104:1448:1564
