,word,word_lang,word_pos,word_ipa,word_ipa_edited_vowel,word_en,next_word_index_verb,next_word_index_adjective,next_word_index_noun
0,青い,ja,adjective,/aoi/,ɶoy,blue,,1464,835:896:1673:1694
1,reeks,en,verb,/ˈɹiks/,ypϕ,reeks,,,897:1057:1244:1245
2,mulch,en,verb,/ˈməɫtʃ/,əp,mulch,,,898:1277:1358:1529
3,덫,ko,adjective,/tʌ̹t̚/,ɔp,trap,590,1033,899:1217:1503
4,schreie,de,adjective,/ʃˈɾəiː/jə/,əyə,scream,,,900
5,wanna,en,verb,/ˈwɑnə/,ɑə,wanna,901,1127,1004:1671:1753
6,연기,ko,verb,/jʌ̹nɡi/,ɔmy,Acting,,,
7,known,en,verb,/ˈnoʊn/,oʊm,known,,945:1142,903:1703
8,摆,zh-cn,verb,/paɪ˨˩˦/,ɶʏ,put,235,,904:1005:1145:1326:1346:1590
9,불행,ko,adjective,/puɾɦɛ̝ŋ/,uœm,Unhappiness,,,905:1162:1455
10,무릎,ko,verb,/muɾɯp̚/,uup,knee,656:906,,1123
11,난로,ko,verb,/na̠ɭɭo̞/,ɶo,Fireplace,44:478:604:671:677:708:939:1582,85,707:711:787:907:985:988:1027:1082:1119:1138:1269:1388:1586:1618:1619:1680
12,ahnt,de,verb,/ˈʔɑnt/,ɑmp,ahn,83,908,1222
13,刈る,ja,verb,/kaɾɯ/,ɶu,mow,99:123:127:366:522:581:600:996:1180,469:508:577:1037:1251,773:909:941:979:999:1030:1083:1156:1279:1300:1380:1435:1498:1509:1589:1638:1670:1737
14,reaps,en,verb,/ˈɹips/,ypϕ,reaps,,,897:1057:1244:1245
15,uap,id,adjective,/uap/,uɶp,steam,963,,910:1275
16,seamy,en,adjective,/ˈsimi/,yy,seamy,188:375:393:547:616:702:1108:1491,91:103:572:1184:1307,721:847:853:876:911:952:991:1003:1092:1287:1308:1349:1356:1385:1494:1512:1524:1535:1547:1567:1729:1734
17,borne,en,verb,/ˈbɔɹn/,ɔm,borne,534:1350:1443,1365,912:980:1011:1499
18,giddy,en,adjective,/ˈɡɪdi/,ʏy,giddy,,,913:1161:1172:1254:1371:1628
19,shine,en,verb,/ˈʃaɪn/,ɶʏm,shine,1396,,914
20,輝く,ja,verb,/kagajakɯ/,ɶɶɶu,Shine,,,915
21,ilia,eo,adjective,/ilia/,yyɶ,their,,,916:1640
22,freŝa,eo,adjective,/freʃa/,ϕøɶ,fresh,,,
23,흥분,ko,adjective,/xɯŋbun/,umum,excitement,,,
24,兴,zh-cn,verb,/ɕɪŋ˥˥/,ʏm,Be,254:502:975:1097:1583:1674,,919:971:1120:1166
25,ethos,en,verb,/ˈiθɑs/,yɑϕ,ethos,,,920
26,schälen,de,verb,/ˈʃɛːlən/,œəm,peel,,399:1457,840:921:1451:1615
27,magio,eo,adjective,/magio/,ɶyo,magic,,,922
28,anregen,de,verb,/ˈʔanˌɾeːgən/,ɶmøəm,stimulate,,,
29,swell,en,verb,/ˈswɛɫ/,ϕœ,swell,,,
30,sills,en,verb,/ˈsɪɫz/,ʏβ,sills,,,925
31,寝る,ja,verb,/neɾɯ/,øu,sleep,155:390,1508,926:1063:1342
32,sagar,en,adjective,/sɑˈɡɑɹ/,ɑɑ,sagar,,,927
33,asin,id,adjective,/asin/,ɶym,salty,510,112:1751,861:928:950:1210:1420
34,보지,ko,adjective,/po̞d͡ʑi/,oby,Pussy,,,
35,lihat,id,verb,/lihat/,yɶp,see,95:930,,994:1322:1429
36,감옥,ko,verb,/ka̠mo̞k̚/,ɶop,prison,940:1460:1596,931,1620
37,gemuk,id,verb,/gəmuʔ/,əub,fat,932:1023,,
38,porky,en,verb,/ˈpɔɹki/,ɔy,porky,6:476:1032,78:612,764:933:977:982:1022:1060:1295:1521
39,foggy,en,adjective,/ˈfɑɡi/,ɑy,foggy,,,934:968
40,지우,ko,verb,/t͡ɕiu/,pyu,Jiwoo,,,
41,潮湿,zh-cn,adjective,/ʈʂʰɑʊ˧˥ ʂɚ˥˥/,ɑʊə,Wet,,,936:1408
42,feign,en,adjective,/ˈfeɪn/,øʏm,feign,,,937:1613
43,지도,ko,verb,/t͡ɕido̞/,pyo,map,,,
44,发射,zh-cn,verb,/fa˥˥ ʂɤ˥˩/,ɶo,emission,11:88:124:355:604:671:677:708:939:1582,85:210,707:711:787:907:985:988:1027:1082:1119:1138:1269:1388:1514:1586:1618:1619:1621
45,발톱,ko,verb,/pa̠ɭtʰo̞p̚/,ɶpop,toenail,,,
46,焼く,ja,verb,/jakɯ/,ɶu,Bake,99:123:127:366:522:581:600:996:1180,469:508:577:1037:1251,773:909:941:979:999:1030:1083:1156:1279:1300:1380:1435:1498:1509:1589:1638:1670:1737
47,dwelt,en,verb,/ˈdwɛɫt/,bœp,dwelt,,,
48,粗い,ja,adjective,/aɾai/,ɶɶy,rough,,,943:1094:1313:1384:1389:1480:1539
49,kasar,id,adjective,/kasar/,ɶɶr,Rough,,944:1115:1550,1598
50,tease,en,verb,/ˈtiz/,yβ,tease,946,,1013:1084:1087:1117
51,逗,zh-cn,verb,/toʊ˥˩/,oʊ,tease,532:1095,,947
52,泳ぐ,ja,verb,/ojogɯ/,oou,swim,1391,,948:1398
53,바다,ko,adjective,/pa̠da̠/,ɶɶ,Sea,629,117:343:568,741:821:857:874:949:1018:1177:1234:1260:1487:1523:1537:1544:1587:1597:1646:1735:1738
54,stude,en,verb,/ˈstud/,ϕub,stude,,,
55,mealy,en,adjective,/ˈmiɫi/,yy,mealy,188:375:393:547:616:702:1108:1491,91:103:572:1184:1307,721:847:853:876:911:952:991:1003:1092:1287:1308:1349:1356:1385:1494:1512:1524:1535:1547:1567:1729:1734
56,ramus,en,verb,/ˈɹeɪməs/,øʏəϕ,ramus,,953,
57,tardy,en,adjective,/ˈtɑɹdi/,ɑy,tardy,,,934:968
58,叱る,ja,verb,/ɕikaɾɯ/,yɶu,Scold,,1372,954
59,tweed,en,verb,/ˈtwid/,pyb,tweed,,,
60,团结,zh-cn,verb,/tʰwan˧˥ tɕjɛ˧˥/,pɶmpϕœ,Unity,,,
61,bersatu,id,verb,/bərsatu/,ərɶu,unite,,,
62,미라,ko,adjective,/miɾa̠/,yɶ,Mummy,296:1212,181:628,865:959:1091:1516:1543:1743
63,가하다,ko,adjective,/ka̠ɦa̠da̠/,ɶɶɶ,inflict,,394:759,960:1309
64,meriah,id,verb,/məriah/,əyɶr,rousing,,,961
65,bati,eo,verb,/bati/,ɶy,beat,159:349:353:398:484:664:1085:1165:1215:1612,93:175:339:437:528:578:585:699:1280:1438,789:792:797:818:843:890:962:1067:1068:1116:1263:1267:1270:1314:1370:1476:1496:1611:1682:1685:1705:1725
66,dulce,en,verb,/ˈdəɫs/,əϕ,dulce,1038,,964
67,흠,ko,verb,/xɯm/,um,Hmm,1008,496,965:1405
68,hench,en,verb,/ˈhɛntʃ/,œmp,hench,257,,966
69,보리,ko,verb,/po̞ɾi/,oy,barley,170:615:969:1113,71:204:1484,929:967:1052:1197:1203:1256:1310:1594:1647
70,hobby,en,adjective,/ˈhɑbi/,ɑy,hobby,,,934:968
71,hobi,id,adjective,/hobi/,oy,hobby,69:170:565:615:969:1113,34:204:281:287:1484,743:929:967:1052:1078:1197:1203:1256:1310:1594:1647
72,eaten,en,verb,/ˈitən/,yəm,eaten,376:414:538,,737:970:1289:1329:1642
73,绫,zh-cn,verb,/lɪŋ˧˥/,ʏm,Thin silk,254:502:975:1097:1583:1674,,919:971:1120:1166
74,루트,ko,verb,/ɾutʰɯ/,upu,root,,,
75,脊,zh-cn,verb,/tɕi˧˥/,py,ridge,,,
76,맛,ko,adjective,/ma̠t̚/,ɶp,flavor,1207,,974:1056:1337:1375
77,弱い,ja,adjective,/joɰᵝai/,oɶy,weak,623,1536,976
78,거미,ko,adjective,/kʌ̹mi/,ɔy,Spider,38:82,129:152:472:594:1386,902:933:977:982:1022:1521:1663
79,둥이,ko,verb,/tuŋi/,uy,Round,169:290:354:658:978:1077,167:1206,1076:1199:1268:1288:1333:1575
80,mourn,en,verb,/ˈmɔɹn/,ɔm,mourn,534:1350:1443,1365,912:980:1011:1499
81,Beere,de,adjective,/ˈbeːʁə/,øə,berry,,981,
82,saucy,en,verb,/ˈsɔsi/,ɔy,saucy,6:476:1032,78:612,764:933:977:982:1022:1060:1295:1521
83,conch,en,verb,/ˈkɑntʃ/,ɑmp,conch,12:983,,
84,hoops,en,verb,/ˈhups/,upϕ,hoops,,,984:1526
85,nazo,eo,adjective,/nazo/,ɶo,nose,11:44:88:124:355:478:939:1582,210,711:787:985:988:1027:1082:1138:1269:1388:1514:1586:1618:1619:1621:1680
86,rinks,en,verb,/ˈɹɪŋks/,ʏmpϕ,rinks,,,986
87,흑인,ko,verb,/xɯɡin/,uym,black,1227,,884:987:1149:1436:1507:1693
88,나모,ko,verb,/na̠mo̞/,ɶo,Namo,44:478:604:671:677:708:939:1582,85,707:711:787:907:985:988:1027:1082:1119:1138:1269:1388:1586:1618:1619:1680
89,rubel,en,verb,/ˈɹubəɫ/,uə,rubel,,,989:1219
90,给,zh-cn,verb,/keɪ˨˩˦/,øʏ,give,94:336:416:1043,586,990:1290
91,tinggi,id,adjective,/tiŋgi/,ymy,high,,,
92,foret,en,adjective,/ˈfɔɹɛt/,ɔœp,foret,,,992
93,亡き,ja,adjective,/naki/,ɶy,late,65:159:160:207:332:349:353:367:398:484:664:1054:1085:1165:1215:1612,175:339:578:585:1280:1438,792:797:818:843:890:962:1067:1068:1163:1255:1267:1270:1314:1476:1496:1611:1682:1705:1725
94,crail,en,verb,/ˈkɹeɪɫ/,pøʏ,crail,,,
95,기갑,ko,verb,/kiɡa̠p̚/,yɶp,Armor,35:930,357:405,994:1322:1429
96,팬,ko,verb,/pʰɛ̝n/,pœm,Pan,,,
97,spülen,de,verb,/ˈʃpyːln̩/,ylm,do the washing up,,,997:1071
98,nea,eo,adjective,/nea/,øɶ,ne,142:1360,,917:998:1046:1200:1235
99,laŭ,eo,verb,/lau/,ɶu,According to,13:46:123:127:248:335:366:448:522:581:600:996,133:469:508:577:1037:1251,731:771:773:909:941:979:999:1026:1030:1083:1156:1279:1300:1380:1430:1435:1498:1509:1589:1638:1670:1672:1737
100,who'd,en,verb,/ˈhud/,ub,who'd,,,951:1000:1055:1505
101,morse,en,verb,/ˈmɔɹs/,ɔϕ,morse,,,1001:1148:1585
102,knits,en,verb,/ˈnɪts/,ʏpϕ,knits,,,1002:1600
103,귀의,ko,adjective,/kɥiɰi/,pyy,otic,,,
104,slava,en,adjective,/ˈsɫɑvə/,ϕɑə,slava,,,
105,塞,zh-cn,verb,/saɪ˥˥/,ɶʏ,Plug,235,,904:1005:1145:1326:1346:1590
106,techy,en,adjective,/ˈtɛtʃi/,œpy,techy,,,
107,roost,en,verb,/ˈɹust/,uϕp,roost,,,1007
108,틈,ko,adjective,/tʰɯm/,pum,aperture,,,
109,daunt,en,verb,/ˈdɔnt/,ɔmp,daunt,1606,,1009
110,fussy,en,adjective,/ˈfəsi/,əy,fussy,418:1034:1348,,1010:1073:1218:1409:1437:1452:1506:1520:1542:1609
111,warnt,de,verb,/ˈvaɾnt/,ɶmp,warning,,,1012:1139
112,아닌,ko,adjective,/a̠nin/,ɶym,not,294:1044,33:650:1751,839:878:950:1014:1420
113,perry,en,verb,/ˈpɛɹi/,œy,perry,318:1015:1088,643:1757,887:1006:1020:1129:1271:1402
114,mereda,id,verb,/mərəda/,əəɶ,Deathfully,1016,,1458
115,spare,en,adjective,/ˈspɛɹ/,ϕœ,spare,,,
116,태아,ko,adjective,/tʰɛ̝a̠/,pœɶ,fetus,,,
117,sama,id,adjective,/sama/,ɶɶ,same,319:413:614:687,53:265:343:854,821:857:874:893:1018:1177:1234:1260:1487:1523:1537:1544:1587:1597:1646:1707:1735:1738:1749
118,vouch,en,adjective,/ˈvaʊtʃ/,ɶʊp,vouch,,,1019
119,harry,en,verb,/ˈhɛɹi/,œy,harry,318:1015:1088,643:1757,887:1006:1020:1129:1271:1402
120,welch,en,verb,/ˈwɛɫtʃ/,œp,welch,942:958,455,1021:1211:1367
121,cease,en,verb,/ˈsis/,yϕ,cease,1024:1102,,
122,闻,zh-cn,verb,/uən˧˥/,uəm,smell,1025:1548,1153,1632:1653
123,bau,id,verb,/bau/,ɶu,smell,13:46:99:127:248:335:366:448:522:581:996:1180,133:1037:1251,731:771:773:979:1026:1083:1156:1300:1380:1430:1435:1498:1509:1589:1638:1670:1672:1737
124,파도,ko,verb,/pʰa̠do̞/,pɶo,wave,,,
125,대다,ko,verb,/tɛ̝da̠/,œɶ,apply,,,1017:1028
126,treen,en,verb,/ˈtɹin/,pym,treen,,,
127,가드,ko,verb,/ka̠dɯ/,ɶu,Guard,13:46:99:123:248:335:448:600:996:1180,133:469:508:577:1037:1251,731:771:909:941:979:999:1026:1030:1279:1300:1380:1430:1435:1498:1509:1589:1638:1672
128,tight,en,adjective,/ˈtaɪt/,ɶʏp,tight,,,1031:1517:1562
129,dawdy,en,adjective,/ˈdɔdi/,ɔy,dawdy,6:476:1032,78:612,764:933:977:982:1022:1060:1295:1521
130,puffy,en,adjective,/ˈpəfi/,əy,puffy,418:1034:1348,,1010:1073:1218:1409:1437:1452:1506:1520:1542:1609
131,bangun,id,adjective,/baŋun/,ɶum,Wake up,326:1363:1531:1644,651:1035,1565
132,高,zh-cn,verb,/kɑʊ˥˥/,ɑʊ,high,,,1036
133,タフ,ja,adjective,/taɸɯ/,ɶu,tough,99:123:127:366:522:581:600:996:1180,469:508:577:1037:1251,773:909:941:979:999:1030:1083:1156:1279:1300:1380:1435:1498:1509:1589:1638:1670:1737
134,tough,en,adjective,/ˈtəf/,əϕ,tough,1038,,964
135,sulit,id,adjective,/sulit/,uyp,difficult,,,1039:1111
136,sunup,en,adjective,/ˈsənəp/,əəp,sunup,1040,,
137,kosong,id,adjective,/kosoŋ/,oom,empty,,1041,745:1178
138,빈,ko,adjective,/pin/,ym,empty,126:387:695:1029:1302,,1042:1608
139,非,zh-cn,verb,/feɪ˥˥/,øʏ,non-,94:336:416:1043,586,990:1290
