,word,word_lang,word_pos,word_ipa,word_ipa_edited_vowel,word_en,next_word_index_verb,next_word_index_adjective,next_word_index_noun
0,选择,zh-cn,verb,/ɕɥœn˨˩˦ tsɤ˧˥/,ϕœmpϕo,select,704:780:809:1270:2094,749,1352:1670:2125:2150
1,memilih,id,verb,/məmilih/,məmylyr,choose,,,1353
2,dwelt,en,verb,/ˈdwɛɫt/,brœp,dwelt,1354,,1697:2656
3,tinggal,id,verb,/tiŋgal/,pymbɶl,Live,2502,2007,1355:2107
4,lojala,eo,adjective,/loiala/,loyɶlɶ,loyal,1817,,1356:1663
5,setia,id,adjective,/sətia/,ϕəpyɶ,loyal,,,1357:2423
6,미라,ko,adjective,/miɾa̠/,myɶ,Mummy,,,1358:1411
7,가하다,ko,adjective,/ka̠ɦa̠da̠/,pɶɶbɶ,inflict,393:1854,1503:1797:1878:1960:2226:2308,1359:1487:1642:1725:1821:1889:1906:1967:1992:2085
8,melampiaskan,id,adjective,/məlampiaskan/,məlɶmpyɶϕpɶm,vent,336:645:905:908:1294:1433:1468:1523:1641:1830:1974:2064:2092:2228:2458:2513:2596:2673,634:1621:1652:2075:2153:2488,1360:1648:1671:1840:1983:2083:2338:2567
9,anrichten,de,verb,/ˈanʀɪçtn̩/,ɶmʏpm,put on,,,1361
10,crump,en,verb,/ˈkɹəmp/,pəmp,crump,,,1362:2041
11,감옥,ko,verb,/ka̠mo̞k̚/,pɶmop,prison,,,1363:1421
12,penjara,id,verb,/pəndʒara/,pəmbɶrɶ,jail,2456,,1364:1391:1420:1519:1531:1745:2099:2434:2465
13,괴물,ko,verb,/kø̞muɭ/,pømu,monster,150,1365,2334
14,meriah,id,verb,/məriah/,məryɶr,rousing,,2571,1366
15,换,zh-cn,verb,/xwan˥˩/,ϕrɶm,change,116:202:339:474:1323:1333:1473:2392:2517,104:114:174:529:2069,1367:1461:1471:1554:1691:1824:2449:2462
16,erodieren,de,verb,/ʔɛːɐʔoˈdiːɾen/,bœɐbobyøm,erode,1607:2136:2242,,1368:2114
17,소개,ko,verb,/sʰo̞ɡɛ̝/,ϕoœ,Introduce,1369,,
18,blest,en,adjective,/ˈbɫɛst/,bœϕp,blest,511:1370,,
19,青い,ja,adjective,/aoi/,ɶoy,blue,,,1371
20,stude,en,verb,/ˈstud/,ϕpub,stude,72:675:1176:1316,146,1372:1502
21,汚い,ja,adjective,/kitanai/,pypɶmɶy,dirty,1183:1349:2685,381:831,1373:1733:1873:1977:2168:2405:2516
22,疲れた,ja,verb,/tsɯkaɾeta/,pϕupɶøpɶ,I'm exhausted,,2561,1374:2166:2427
23,bati,eo,verb,/bati/,bɶpy,beat,148:1005:1251:1298:1504,401:1216:1350,1375:1613:1757:2557:2588:2638
24,tinggi,id,adjective,/tiŋgi/,pymby,high,155:682:876,771:1151:1439,1376:1555:1850:2025:2117:2377:2563
25,높은,ko,adjective,/no̞pʰɯn/,mopum,High,403:513:654:700:1440:1578:2040:2197,1454:1995:2159,1377:1532:1759:2048:2147:2252
26,vaporo,eo,adjective,/vaporo/,βɶporo,steam,,,1378:1748
27,증기,ko,adjective,/t͡ɕɯŋɡi/,pϕumy,steam,1486,61,1379:1413:1749:2123
28,uap,id,adjective,/uap/,uɶp,steam,907:1380,,2248
29,malforta,eo,adjective,/malforta/,mɶlϕorpɶ,weak,,1381,2566
30,虔诚,zh-cn,verb,/tɕʰjɛn˧˥ ʈʂʰɤŋ˧˥/,pϕœmom,Sincere,2302,,1382
31,felch,en,verb,/ˈfɛɫtʃ/,ϕœp,felch,874:2212:2652,214,1383:1563
32,smile,en,verb,/ˈsmaɪɫ/,ϕmɶʏ,smile,1288:1384,,
33,tersenyum,id,verb,/tərsəɲum/,pərϕəmum,smile,927:1285,325:2269,1385:1679:2232:2623
34,미소,ko,verb,/misʰo̞/,myϕo,smile,,2266,1386:2230
35,rideto,eo,verb,/rideto/,rybøpo,smile,,2231,1387
36,hense,en,adjective,/ˈhɛns/,rœmϕ,hense,,,1388
37,gebracht,de,verb,/gəˈbraxt/,bəbrɶϕp,brought,,1389,
38,aussage,de,verb,/ˈʔaosˌzɑːgə/,bɶoϕβɒbə,statement,,,1390
39,tentara,id,verb,/təntara/,pəmpɶrɶ,army,2456,,1364:1391:1420:1519:1531:1745:2099:2434:2465
40,목사,ko,verb,/mo̞ks͈a̠/,mopϕɶ,pastor,1259:1912:2560,584:1106:2396,1392:1930:2209:2295:2397:2452:2594
41,妄りに,ja,adjective,/midaɾini/,mybɶymy,Unexpectedly,,74,1393:1428
42,dulce,en,verb,/ˈdəɫs/,bəϕ,dulce,,,1394
43,薄暗い,ja,adjective,/ɯsɯgɯɾai/,uϕubuɶy,dim,132,,1395:1489
44,kacau,id,adjective,/katʃau/,pɶpɶu,Chaotic,131:2421,823,1396:1488:1863
45,messy,en,adjective,/ˈmɛsi/,mœϕy,messy,254:2422,,1397
46,시체,ko,verb,/ɕʰit͡ɕʰe̞/,ϕypϕø,dead body,1594:2644,,1398:2192:2394
47,제작,ko,verb,/t͡ɕe̞d͡ʑa̠k̚/,pϕøbβɶp,making,2181,789,1399
48,laced,en,adjective,/ˈɫeɪst/,øʏϕp,laced,,,1400:2225
49,geschnürt,de,verb,/gəˈʃnʏɾt/,bəmʏp,laced,435,359,
50,퍽,ko,verb,/pʰʌ̹k̚/,pɔp,puck,,,1401
51,우주,ko,adjective,/ud͡ʑu/,ubβu,space,,,1402:1668:2445:2504
52,華々しい,ja,adjective,/hanabanaɕii/,rɶmɶbɶmɶϕyy,spectacular,1459:1664:1667:2401,,1403:1452:1742:1802:2268:2660
53,fliehen,de,verb,/ˈfliːən/,ϕlyəm,flee,2604,1320,1404:1842:1898
54,terbang,id,verb,/tərbaŋ/,pərbɶm,fly,117:967:1068:1406,1550:1590:2185,1405:1474:1684:1699:1810:1847:2144:2152:2307:2428:2581:2606
55,rindang,id,adjective,/rindaŋ/,rymbɶm,shady,117:967:1068:1406,1550:1590:2185,1405:1474:1684:1699:1810:1847:2144:2152:2307:2428:2581:2606
56,belaubt,de,verb,/bəˈlaopt/,bəlɶopp,leafy,,,1407
57,leafy,en,adjective,/ˈɫifi/,yϕy,leafy,142:1408:1498,1907,2229
58,흠,ko,verb,/xɯm/,ϕum,Hmm,2347:2359:2546,,1409:1552:1781:1902:2631
59,hench,en,verb,/ˈhɛntʃ/,rœmp,hench,171:180:482:970,,1410
60,mummy,en,adjective,/ˈməmi/,məmy,mummy,,822,1412:1480:1883:2160
61,mumi,id,adjective,/mumi/,mumy,mummy,128:1486,27,1379:1413:1749:2123
62,mumio,eo,adjective,/mumio/,mumyo,Mummy,,,1414
63,보리,ko,verb,/po̞ɾi/,poy,barley,,340,1415:1692
64,bersisik,id,adjective,/bərsisiʔ/,bərϕyϕyb,scaly,1416,,
65,flaky,en,adjective,/ˈfɫeɪki/,ϕøʏpy,flaky,1417:2246,,2127
66,瓦特,zh-cn,verb,/wa˨˩˦ tʰɤ˥˩/,rɶpo,watt,,,1418
67,궁전,ko,adjective,/kuŋd͡ʑʌ̹n/,pumbβɔm,Palace,1419,,1577:2070
68,known,en,verb,/ˈnoʊn/,moʊm,known,2519,1693:2087,1422
69,众所周知,zh-cn,verb,/ʈʂʊŋ˥˩ suɔ˨˩˦ ʈʂoʊ˥˥ ʈʂɚ˥˥/,ʊmϕuɔoʊ,Well-known,,680,1423
70,synod,en,verb,/ˈsɪnəd/,ϕʏməb,synod,,,1424
71,统一,zh-cn,verb,/tʰʊŋ˨˩˦ i˥˥/,pʊmy,Unite,708,,1425
72,kuk,id,verb,/kuʔ/,pub,yoke,20:1426,,1502:2016:2510
73,소원,ko,verb,/sʰo̞wʌ̹n/,ϕorɔm,wish,598,1427,
74,취미,ko,adjective,/t͡ɕʰɥimi/,pϕymy,hobby,,41,1393:1428
75,hobby,en,adjective,/ˈhɑbi/,rɒby,hobby,,,1429
76,hobio,eo,adjective,/hobio/,robyo,hobby,1430,,
77,hobi,id,adjective,/hobi/,roby,hobby,1180:1431,834,2171
78,eaten,en,verb,/ˈitən/,ypəm,eaten,112:139:263:276:304:342:460:519:563:797:879:949:1050:1054:1085:1112:1121:1145:1338:1616:1694:1925:1969:2200:2216:2250,,1432:1494:1495:1631:1910:2447
79,dimakan,id,verb,/dimakan/,bymɶpɶm,eaten,336:645:905:908:1294:1433:1468:1523:1641:1830:1974:2064:2092:2228:2458:2513:2596:2673,634:1621:1652:2075:2153:2488,1360:1648:1671:1840:1983:2083:2338:2567
80,gegessen,de,verb,/gəgəˈszən/,bəbəϕβəm,eaten,523,400,1434:1879:1918:2030:2043:2499
81,食べる,ja,verb,/tabeɾɯ/,pɶbøu,eat,1435:1707,,
82,绫,zh-cn,verb,/lɪŋ˧˥/,lʏm,Thin silk,,,1436
83,구석,ko,adjective,/kusʰʌ̹k̚/,puϕɔp,corner,504,,1437:1536:2024:2091
84,루트,ko,verb,/ɾutʰɯ/,upu,root,406:893:2235,826,1438:1761:1886:1997:2163:2316:2545
85,twain,en,verb,/ˈtweɪn/,prøʏm,twain,,,1441:1639
