,word,word_lang,word_pos,word_ipa,word_ipa_edited_vowel,word_en,next_word_index_verb,next_word_index_noun,next_word_index_adjective,word_ch,word_id,word_ja
0,흥분하다,ko,verb,/xɯŋbunɦa̠da̠/,umuɶɶ,Excitement,671:711:896:1184,535:560:601:628:635:645:666:677:696:806:854:893:1024:1028:1055:1073:1094:1125:1187:1206:1255,24:98:365:384:493:975:1271,激动,Kegembiraan,興奮
1,ぴったり,ja,adjective,/pitːaɾi/,yɶy,Exactly,106:177:286:321:362:369:875:898:969:1016:1132,542:662:721:780:788:812:871:897:911:982:1018:1026:1093:1124:1138:1163:1182:1186:1251,340:383:390:629:813:1012:1104:1105,确切地,Persis,ぴったり
2,말하다,ko,verb,/ma̠ɾɦa̠da̠/,ɶɶɶ,say,102:186:291:336:684:702:709:891:1069:1194,609:633:647:690:716:727:731:742:755:760:779:830:834:840:874:885:894:916:950:1030:1046:1060:1137:1210:1213,26:44:69:120:191:204:235:322:374:556:835,说,mengatakan,いう
3,話す,ja,verb,/hanasɯ/,ɶɶu,speak,630:865:951,632:649:710:725:740:757:767:803:863:905:930:935:944:1013:1064:1129:1205:1233:1254,145:736:1147,说话,berbicara,話す
4,berbicara,id,verb,/bərbitʃara/,əyɶɶ,Speaking,49:84:90:92:174:210:262:294:354:370:423:631:665:704:720:888:1102:1218:1228:1266,519:520:587:592:685:714:794:795:924:949:980:993:1000:1035:1057:1061:1091:1130:1143:1237:1243:1267,63:70:72:205:366:392:394:687:814:966:1131:1150,请讲,berbicara,話し中
5,balasan,id,verb,/balasan/,ɶɶɶm,reply,252:683:809:981,634:733:737:787:818:846:972:973:1003:1004:1029:1262,9:821:1065,回复,balasan,応答
6,輝く,ja,verb,/kagajakɯ/,ɶɶɶu,Shine,630:865:951,632:649:710:725:740:757:767:803:863:905:930:935:944:1013:1064:1129:1205:1233:1254,145:736:1147,闪耀,Bersinar,輝く
7,浸す,ja,verb,/çitasɯ/,yɶu,Immerse,241:615:895,534:679:724:728:750:805:819:824:847:861:908:961:1084:1159:1190:1217:1225:1239:1280,111:206:299,沉浸,Membenamkan,浸す
8,평가하다,ko,verb,/pʰjʌ̹ŋɡa̠ɦa̠da̠/,ɔmɶɶɶ,Evaluate,102:186:291:336:684:702:709:891:1069:1194,609:633:647:690:716:727:731:742:755:760:779:830:834:840:874:885:894:916:950:1030:1046:1060:1137:1210:1213,26:44:69:120:191:204:235:322:374:556:835,评估,Evaluasi,評価する
9,낙하산,ko,adjective,/na̠kʰa̠sʰa̠n/,ɶɶɶm,parachute,5:68:86:123:199:251:270:334:339:351:368:398:408:458:683:809:981,529:578:624:634:733:737:787:818:846:972:973:1003:1004:1262,400:460:821:1065,降落伞,parasut,パラシュート
10,煌く,ja,verb,/kagajakɯ/,ɶɶɶu,Shining,630:865:951,632:649:710:725:740:757:767:803:863:905:930:935:944:1013:1064:1129:1205:1233:1254,145:736:1147,闪亮的,Bersinar,煌く
11,자극하다,ko,verb,/t͡ɕa̠ɡɯkʰa̠da̠/,bɶuɶɶ,stimulate,671:711:896:1184,535:560:601:628:635:645:666:677:696:806:854:893:1024:1028:1055:1073:1094:1125:1187:1206:1255,24:98:365:384:493:975:1271,刺激,merangsang,刺激する
12,나타나다,ko,verb,/na̠tʰa̠na̠da̠/,ɶɶɶɶ,appear,102:186:291:336:684:702:709:891:1069:1194,609:633:647:690:716:727:731:742:755:760:779:830:834:840:874:885:894:916:950:1030:1046:1060:1137:1210:1213,26:44:69:120:191:204:235:322:374:556:835,出现,muncul,現れる
13,bajingan,id,adjective,/badʒiŋan/,ɶyɶm,A bastard,825:976:1048:1171,729:878:965:985:989:1081:1115:1139,636:1020:1067:1075,一个混蛋,bajingan,ろくでなし
14,高い,ja,adjective,/takai/,ɶɶy,high,40:76:78:83:85:184:197:208:222:239:266:337:441:497:656:781:826:841:869,637:650:658:672:698:746:766:800:832:843:899:909:914:923:945:952:964:977:987:1168:1172:1199:1200:1204:1238,60:113:131:137:367:676,高的,tinggi,高い
15,resanigi,eo,verb,/resanigi/,øɶyy,heal,125:212:320:674:681:764:1087:1120,526:639:640:667:763:808:811:816:849:850:855:859:918:927:931:991:1156,16:29:57:66:112:161:207:237:248:303:327:439:452:739:852:1021:1070:1242,愈合,menyembuhkan,癒して
16,恥ずかしい,ja,adjective,/hazɯkaɕii/,ɶuɶyy,Embarrassing,15:21:50:125:159:182:194:212:292:320:674:681:764:919:1087:1108:1120,640:667:763:808:811:816:849:850:855:859:927:931:991:1156,739:852:1021:1070:1242,尴尬,Memalukan,恥ずかしい
17,계속하다,ko,verb,/kje̞sʰo̞kʰa̠da̠/,øoɶɶ,Continue,817:1008:1146,600:641:655:670:691:692:695:719:752:776:823:838:883:926:958:1001:1128,176:228:643:786:799:1031:1079:1270,继续,Terus,継続する
18,amuzi,eo,verb,/amuzi/,ɶuy,to entertain,89:99:259:279:335:500:622:747:892:954:1022,537:550:608:701:703:705:712:734:873:876:882:912:917:928:956:974:996:1005:1006:1014:1249:1252:1276:1281,87:256:783:1167:1241,为了娱乐,untuk menghibur,もてなす
19,早く,ja,adjective,/hajakɯ/,ɶɶu,quickly,630:865:951,632:649:710:725:740:757:767:803:863:905:930:935:944:1013:1064:1129:1205:1233:1254,145:736:1147,迅速地,segera,早く
20,어울리다,ko,verb,/ʌ̹uɭʎida̠/,ɔuyɶ,comport,328:700:1121:1123:1140,602:620:642:732:744:822:827:829:881:907:955:983:1002:1034:1077:1111:1158:1175:1231,108:151:271:413:516:953:1284,讨论,sesuai,comp comp
21,rajdi,eo,verb,/raidi/,ɶyy,ride,125:212:320:674:681:764:1087:1120,526:639:640:667:763:808:811:816:849:850:855:859:918:927:931:991:1156,16:29:57:66:112:161:207:237:248:303:327:439:452:739:852:1021:1070:1242,骑,mengendarai,ライド
22,논하다,ko,verb,/no̞nɦa̠da̠/,oɶɶ,reason,817:1008:1146,600:641:655:670:691:692:695:719:752:776:823:838:883:926:958:1001:1128,176:228:643:786:799:1031:1079:1270,原因,alasan,理由
23,senpartia,eo,adjective,/senpartia/,ømɶyɶ,impartial,80:126:223:426:730:858:1072:1179:1181:1227,554:568:644:653:680:778:804:807:831:833:886:889:890:915:929:1149:1286,65:116:735:801,公正,IMPARTIAL.,公平
24,kuraĝa,eo,adjective,/kurad͡ʒa/,uɶɶ,brave,0:11:55:82:198:246:275:671:711:896:1047:1184,535:560:601:628:635:645:666:677:696:806:854:893:1024:1055:1073:1094:1125:1187:1206:1255,98:357:365:493:1271,勇敢的,berani,勇敢に
25,akan,id,verb,/akan/,ɶɶm,will,124:187:216:253:401:416:421:472:474:1086,533:539:540:565:580:589:594:596:646:664:694:738:741:768:775:798:962:988:1015:1042:1256,79:95:202:402:405:470:659,将要,akan,意志
26,fatala,eo,adjective,/fatala/,ɶɶɶ,fatal,2:8:12:88:97:101:102:118:130:149:154:157:186:229:240:276:291:293:331:336:397:684:702:709:891:1069:1194:1253,564:571:609:633:647:690:716:727:731:742:760:779:830:834:837:840:874:885:887:916:950:1030:1137:1210,69:114:120:142:191:322:556:835,致命的,fatal,致命的な
27,기한,ko,verb,/kiɦa̠n/,yɶm,deadline,660:765:922,552:555:648:762:777:792:828:959:1211,41:170:219:1165,最后期限,tenggat waktu,締め切り
28,싸움,ko,verb,/s͈a̠um/,ɶum,Fight,285:802:910,551:638:675:761:782:836:860:1009:1214,150:454:475,斗争,Pertarungan,戦い
29,誇らしい,ja,adjective,/hokoɾaɕii/,ooɶyy,proud,15:21:50:125:159:182:194:212:292:320:674:681:764:919:1087:1108:1120,640:667:763:808:811:816:849:850:855:859:927:931:991:1156,739:852:1021:1070:1242,自豪的,bangga,誇らしい
30,若い,ja,adjective,/ɰᵝakai/,ɶɶy,young,40:76:78:83:85:184:197:208:222:239:266:337:441:497:656:781:826:841:869,637:650:658:672:698:746:766:800:832:843:899:909:914:923:945:952:964:977:987:1168:1172:1199:1200:1204:1238,60:113:131:137:367:676,年轻,muda,若い
31,生み出す,ja,verb,/ɯmidasɯ/,uyɶu,produce,241:615:895,534:679:724:728:750:805:819:824:847:861:908:961:1084:1159:1190:1217:1225:1239:1280,111:206:299,生产,menghasilkan,生み出す
32,괴롭히다,ko,adjective,/kø̞ɾo̞pʰida̠/,øoyɶ,bully,957:1037:1113,605:673:688:769:820:857:870:994:1011:1083:1151:1264:1273,56:156:203:236:257:295:375:407:663:784:1027:1141,欺负,menggertak,いじめっ子
33,forno,eo,verb,/forno/,oo,oven,289:381:651:1169,575:1040:1063:1092:1134:1261,140:243:298:393:451,烤箱,oven,オーブン
34,씨앗,ko,adjective,/ɕ͈ia̠t̚/,yɶb,seed,36:53:75,654:689:774:925:992:1119:1164,227:268:347:420:652:1114:1223,种子,benih,シード
35,stabila,eo,adjective,/stabila/,bɶyɶ,stable,80:126:223:426:730:858:1072:1179:1181:1227,554:568:644:653:680:778:804:807:831:833:886:889:890:915:929:1149:1286,65:116:735:801,稳定的,stabil,安定した
36,ingat,id,verb,/iŋat/,yɶb,remember,167:477:513,654:669:689:774:925:992:1119:1164,34:652:1114:1223,记住,ingat,覚えています
37,matang,id,adjective,/mataŋ/,ɶɶm,mature,124:187:216:253:401:416:421:472:474:1086,533:539:540:565:580:589:594:596:646:664:694:738:741:768:775:798:962:988:1015:1042:1256,79:95:202:402:405:470:659,成熟,matang,熟考
38,유도하다,ko,verb,/judo̞ɦa̠da̠/,uoɶɶ,Induce,817:1008:1146,600:641:655:670:691:692:695:719:752:776:823:838:883:926:958:1001:1128,176:228:643:786:799:1031:1079:1270,诱发,Menyebabkan,誘発する
39,이루다,ko,verb,/iɾuda̠/,yuɶ,accomplished,218:868:1023,549:657:699:884:946:963:971:1103:1144:1160:1185:1272,152:189:796:1250,完成,ulung,accompl
40,mencapai,id,verb,/məntʃapai/,əmɶɶy,Achieve,443:497:656:781:826:839:841:869,521:545:547:637:650:658:672:698:726:746:766:800:832:843:909:914:945:948:952:964:977:987:1056:1168:1200:1204:1238,14:30:131:135:214:220:297:315:319:356:476:676,达到,mencapai,成し遂げる
41,diam,id,adjective,/diam/,yɶm,Silence,27:250:660:765:922,531:552:648:762:777:792:828:959:1211,183:273:1165,安静,diam,沈黙
42,halus,id,adjective,/halus/,ɶub,smooth,382:717:1045:1170,661:785:797:810:862:1039:1279,713:872:943,光滑的,halus,smooth smooth
43,苦い,ja,adjective,/nigai/,yɶy,bitter,106:177:286:321:362:369:875:898:969:1016:1132,542:662:721:780:788:812:871:897:911:982:1018:1026:1093:1124:1138:1163:1182:1186:1251,340:383:390:629:813:1012:1104:1105,苦的,pahit,苦い
44,amara,eo,adjective,/amara/,ɶɶɶ,bitter,2:8:12:88:97:101:102:118:130:149:154:157:186:229:240:276:291:293:331:336:397:684:702:709:891:1069:1194:1253,564:571:609:633:647:690:716:727:731:742:760:779:830:834:837:840:874:885:887:916:950:1030:1137:1210,69:114:120:142:191:322:556:835,苦的,pahit,苦い
45,mengurangi,id,verb,/məŋuraŋi/,əuɶy,Reduce,290:718:880:913:1062:1110:1116,523:585:595:697:707:723:793:856:939:967:986:990:1036:1044:1059:1066:1071:1198:1278,104:144:263:379:455:682:960:970,减少,mengurangi,縮める
46,속이다,ko,adjective,/sʰo̞ɡida̠/,oyɶ,chisel,957:1037:1113,605:673:688:769:820:857:870:994:1011:1083:1151:1264:1273,56:156:203:236:257:295:375:407:663:784:1027:1141,凿,pahat,チセル
47,기르다,ko,verb,/kiɾɯda̠/,yuɶ,cultivate,218:868:1023,549:657:699:884:946:963:971:1103:1144:1160:1185:1272,152:189:796:1250,培育,mengolah,耕す
48,datang,id,verb,/dataŋ/,ɶɶm,come,124:187:216:253:401:416:421:472:474:1086,533:539:540:565:580:589:594:596:646:664:694:738:741:768:775:798:962:988:1015:1042:1256,79:95:202:402:405:470:659,来,datang,来る
49,취하다,ko,verb,/t͡ɕʰɥiɦa̠da̠/,byɶɶ,drunk,4:301:317:350:665:704:720:888:1102:1218:1228:1266,519:520:530:579:588:592:685:714:794:795:867:879:924:949:980:993:1000:1035:1061:1130:1143:1237:1243,70:72:73:366:392:687:814:966:1131:1150,醉,mabuk,酔った
