,word,word_lang,word_pos,word_ipa,word_ipa_edited_vowel,word_en,next_word_index_verb,next_word_index_noun,next_word_index_adjective,word_ch,word_id
0,흥분하다,ko,verb,/xɯŋbunɦa̠da̠/,umuɶɶ,Excitement,671:711:896:1184,535:560:601:628:635:645:666:677:696:806:854:893:1024:1028:1055:1073:1094:1125:1187:1206:1255,24:98:365:384:493:975:1271,激动,Kegembiraan
1,ぴったり,ja,adjective,/pitːaɾi/,yɶy,Exactly,106:177:286:321:362:369:875:898:969:1016:1132,542:662:721:780:788:812:871:897:911:982:1018:1026:1093:1124:1138:1163:1182:1186:1251,340:383:390:629:813:1012:1104:1105,确切地,Persis
2,말하다,ko,verb,/ma̠ɾɦa̠da̠/,ɶɶɶ,say,102:186:291:336:684:702:709:891:1069:1194,609:633:647:690:716:727:731:742:755:760:779:830:834:840:874:885:894:916:950:1030:1046:1060:1137:1210:1213,26:44:69:120:191:204:235:322:374:556:835,说,mengatakan
3,話す,ja,verb,/hanasɯ/,ɶɶu,speak,630:865:951,632:649:710:725:740:757:767:803:863:905:930:935:944:1013:1064:1129:1205:1233:1254,145:736:1147,说话,berbicara
4,berbicara,id,verb,/bərbitʃara/,əyɶɶ,Speaking,49:84:90:92:174:210:262:294:354:370:423:631:665:704:720:888:1102:1218:1228:1266,519:520:587:592:685:714:794:795:924:949:980:993:1000:1035:1057:1061:1091:1130:1143:1237:1243:1267,63:70:72:205:366:392:394:687:814:966:1131:1150,请讲,berbicara
5,balasan,id,verb,/balasan/,ɶɶɶm,reply,252:683:809:981,634:733:737:787:818:846:972:973:1003:1004:1029:1262,9:821:1065,回复,balasan
6,輝く,ja,verb,/kagajakɯ/,ɶɶɶu,Shine,630:865:951,632:649:710:725:740:757:767:803:863:905:930:935:944:1013:1064:1129:1205:1233:1254,145:736:1147,闪耀,Bersinar
7,浸す,ja,verb,/çitasɯ/,yɶu,Immerse,241:615:895,534:679:724:728:750:805:819:824:847:861:908:961:1084:1159:1190:1217:1225:1239:1280,111:206:299,沉浸,Membenamkan
8,평가하다,ko,verb,/pʰjʌ̹ŋɡa̠ɦa̠da̠/,ɔmɶɶɶ,Evaluate,102:186:291:336:684:702:709:891:1069:1194,609:633:647:690:716:727:731:742:755:760:779:830:834:840:874:885:894:916:950:1030:1046:1060:1137:1210:1213,26:44:69:120:191:204:235:322:374:556:835,评估,Evaluasi
9,낙하산,ko,adjective,/na̠kʰa̠sʰa̠n/,ɶɶɶm,parachute,5:68:86:123:199:251:270:334:339:351:368:398:408:458:683:809:981,529:578:624:634:733:737:787:818:846:972:973:1003:1004:1262,400:460:821:1065,降落伞,parasut
10,煌く,ja,verb,/kagajakɯ/,ɶɶɶu,Shining,630:865:951,632:649:710:725:740:757:767:803:863:905:930:935:944:1013:1064:1129:1205:1233:1254,145:736:1147,闪亮的,Bersinar
11,자극하다,ko,verb,/t͡ɕa̠ɡɯkʰa̠da̠/,bɶuɶɶ,stimulate,671:711:896:1184,535:560:601:628:635:645:666:677:696:806:854:893:1024:1028:1055:1073:1094:1125:1187:1206:1255,24:98:365:384:493:975:1271,刺激,merangsang
