word,word_lang,word_en
흥분하다,ko,Excitement
평가하다,ko,Evaluate
자극하다,ko,stimulate
나타나다,ko,appear
계속하다,ko,Continue
어울리다,ko,comport
유도하다,ko,Induce
허용하다,ko,permit
보증하다,ko,guarantee
감독하다,ko,Supervise
예측하다,ko,predict
무시하다,ko,Ignore
계산하다,ko,Calculate
인식하다,ko,Cognize
동의하다,ko,Agree
부담하다,ko,Bear
대답하다,ko,Answer
부족하다,ko,Lack
요약하다,ko,summarize
홍보하다,ko,advertise
가속하다,ko,Accelerate
찬양하다,ko,Praise
시작하다,ko,Start
통과하다,ko,Pass
암기하다,ko,memorize
보존하다,ko,Preserve
제공하다,ko,Offer
궁금하다,ko,wonder
의지하다,ko,Rely
의존하다,ko,be dependent
방황하다,ko,Wander
제안하다,ko,Propose
상승하다,ko,increase
지시하다,ko,Indict
배포하다,ko,publish
경고하다,ko,Warn
허락하다,ko,Permit
검사하다,ko,Check
유지하다,ko,maintain
일으키다,ko,Raise
성공하다,ko,Succeed
치료하다,ko,Treat
표시하다,ko,Denote
암시하다,ko,Suggest
절약하다,ko,Retrench
발휘하다,ko,Exert
아프리카,ko,Africa
가기하다,ko,Go
가급하다,ko,Accept
