word,word_lang,word_en
輝く,ja,Shine
煌く,ja,Shining
meratapi,id,mourni.
mencapai,id,Achieve
瞬く,ja,Blink
mengatakan,id,say
menghargai,id,appreciate
mengawasi,id,Oversee
menyadari,id,Realize
dipahami,id,Understood
mengadakan,id,Over
menangani,id,handle
敬う,ja,respect
mengamati,id,observe
menawarkan,id,offer
memahami,id,understand
mengatasi,id,resolve
menghadapi,id,face
dikalahkan,id,Defeated
従う,ja,Follow
支払う,ja,pay
memakai,id,Wear
perjalanan,id,travel
mengalahkan,id,beat
melayani,id,serve
疑う,ja,doubt
kejahatan,id,crime
marramáu,es,Marramáu.
abajaban,es,Bent
أبارك,ar,I bless
bải hoải bài hoài,vi,graze
asparaga,id,Asparaga
dứt áo ra đi,vi,escape
accaparâmes,fr,grabbing
abajaba,es,Available.
あま噛み,ja,Bite
contrabatí,es,contrabati
mangachapuy,es,Mangachapuy.
octavaba,es,Octavaba.
abajarán,es,Away
chicharraban,es,Chicharranda.
