word,word_lang,word_en
菱形,ja,Rhombus
吐き出す,ja,Exhale
生み出す,ja,produce
釣り合う,ja,balance
serigala,id,wolf
ハイファイ,ja,Hyphilly
부식하다,ko,Corrode
sandiwara,id,Stiffs
lojala,eo,loyal
嘴,ja,beak
ナイアス,ja,Nius
迷彩,ja,camouflage
budianu,ro,Budianu
أنغليكاني,ar,Anglicani
ajmara,eo,Ajmara
adiaŭ,eo,Goodbye
adiraja,id,Adiraja
andilau,id,Andilau
ＡＢ型,ja,AB type
aclimata,ro,ACLIMA
أخصائي,ar,specialist
nữ phi hành gia,vi,female astronauts
أدريانو,ar,Adriano
sinh kí thác quy,vi,substrate
１次キャッシュ,ja,Primary cache
beliau,id,he
imprimátur,es,imprimatur
hồng y giáo chủ,vi,cardinal
adidaya,id,superb
cejana,eo,Cejana
hlaupár,is,exposure
aviadi,eo,Aviadi
abigarra,es,Greakfast
animala,eo,Animal
إنديانا,ar,Indiana
chiriașii,ro,renters
acclimata,fr,acclimata
handicapa,ro,Handicap
capiau,id,Capiau.
Kalligraphie,de,calligraphy
cronicarii,ro,chroniclers
adipati,id,duke
ＤＩ,ja,Di
abdikasi,id,Abdication
Hà Nhì La Mí,vi,Ha Nhi la
hodiaŭ,eo,today
Saurbæ,is,Saurbæ
أمبراطور,ar,emperor
delikata,eo,delicate
berbiau,id,Thank you
ＣＧＩ,ja,CGI
