,word,word_lang
9,흥분하다,ko
204,평가하다,ko
280,자극하다,ko
328,나타나다,ko
449,계속하다,ko
500,어울리다,ko
708,유도하다,ko
1010,허용하다,ko
1058,보증하다,ko
1417,감독하다,ko
1524,예측하다,ko
1606,무시하다,ko
1704,계산하다,ko
1757,인식하다,ko
1812,동의하다,ko
1920,부담하다,ko
1998,대답하다,ko
2107,부족하다,ko
2324,요약하다,ko
2419,홍보하다,ko
2589,가속하다,ko
2761,찬양하다,ko
2835,시작하다,ko
2924,통과하다,ko
3079,암기하다,ko
3275,보존하다,ko
3338,제공하다,ko
3446,궁금하다,ko
3660,의지하다,ko
3809,의존하다,ko
3992,방황하다,ko
4127,제안하다,ko
4207,상승하다,ko
4412,지시하다,ko
4522,배포하다,ko
4631,경고하다,ko
4720,허락하다,ko
4873,검사하다,ko
4921,유지하다,ko
4987,일으키다,ko
5542,성공하다,ko
5590,치료하다,ko
5638,표시하다,ko
5930,암시하다,ko
6201,절약하다,ko
6592,발휘하다,ko
7172,아프리카,ko
9088,가기하다,ko
18489,가급하다,ko
