,id,word,word_vowel,word_lang,pair_id,pair_word,pair_word_vowel,pair_word_lang,type,rhyme_vowel,pos,syllable
115,7.0,berbicara,əiaa,id,271.0,berkilau,əiau,id,to,ia,verb,4.0
668,35.0,生み出す,ɯiaɯ,ja,826.0,仔细观察,ɯiaa,zh-cn,to,ia,verb,4.0
1195,72.0,失う,ɯiaɯ,ja,826.0,仔细观察,ɯiaa,zh-cn,to,ia,verb,4.0
1795,99.0,인식하다,iiää,ko,420.0,気になる,iiaɯ,ja,to,ia,verb,4.0
3156,201.0,motivasi,oiai,id,401.0,표시하다,oiää,ko,to,ia,verb,4.0
3698,240.0,의지하다,iiää,ko,420.0,気になる,iiaɯ,ja,to,ia,verb,4.0
4170,271.0,berkilau,əiau,id,7.0,berbicara,əiaa,id,to,ia,verb,4.0
4369,288.0,費やす,ɯiaɯ,ja,826.0,仔细观察,ɯiaa,zh-cn,to,ia,verb,4.0
4450,293.0,지시하다,iiää,ko,420.0,気になる,iiaɯ,ja,to,ia,verb,4.0
5658,401.0,표시하다,oiää,ko,201.0,motivasi,oiai,id,to,ia,verb,4.0
5722,411.0,menilai,əiai,id,7.0,berbicara,əiaa,id,to,ia,verb,4.0
5913,418.0,vojaĝi,oiai,eo,401.0,표시하다,oiää,ko,to,ia,verb,4.0
5978,420.0,気になる,iiaɯ,ja,99.0,인식하다,iiää,ko,to,ia,verb,4.0
6478,469.0,kemilau,əiau,id,7.0,berbicara,əiaa,id,to,ia,verb,4.0
6648,484.0,張り合う,aiaɯ,ja,1093.0,أشبك,aiaa,ar,to,ia,verb,4.0
11091,826.0,仔细观察,ɯiaa,zh-cn,35.0,生み出す,ɯiaɯ,ja,to,ia,verb,4.0
11547,850.0,劈里啪啦,iiaa,zh-cn,99.0,인식하다,iiää,ko,to,ia,verb,4.0
15188,1093.0,أشبك,aiaa,ar,484.0,張り合う,aiaɯ,ja,to,ia,verb,4.0
17446,1250.0,あいだる,aiaɯ,ja,1093.0,أشبك,aiaa,ar,to,ia,verb,4.0
19535,1401.0,abrigarla,aiaa,es,484.0,張り合う,aiaɯ,ja,to,ia,verb,4.0
21553,1588.0,abrigará,aiaa,es,484.0,張り合う,aiaɯ,ja,to,ia,verb,4.0
22178,1637.0,abdicaba,aiaa,es,484.0,張り合う,aiaɯ,ja,to,ia,verb,4.0
