,word,word_lang
5,흥분하다,ko
200,평가하다,ko
276,자극하다,ko
324,나타나다,ko
445,계속하다,ko
703,유도하다,ko
1005,허용하다,ko
1053,보증하다,ko
1412,감독하다,ko
1519,예측하다,ko
1601,무시하다,ko
1699,계산하다,ko
1752,인식하다,ko
1807,동의하다,ko
1915,부담하다,ko
1993,대답하다,ko
2102,부족하다,ko
2319,요약하다,ko
2414,홍보하다,ko
2584,가속하다,ko
2756,찬양하다,ko
2830,시작하다,ko
2919,통과하다,ko
3074,암기하다,ko
3270,보존하다,ko
3333,제공하다,ko
3441,궁금하다,ko
3655,의지하다,ko
3804,의존하다,ko
3987,방황하다,ko
4122,제안하다,ko
4202,상승하다,ko
4407,지시하다,ko
4517,배포하다,ko
4626,경고하다,ko
4715,허락하다,ko
4868,검사하다,ko
4916,유지하다,ko
5537,성공하다,ko
5585,치료하다,ko
5633,표시하다,ko
5925,암시하다,ko
6196,절약하다,ko
6587,발휘하다,ko
9083,가기하다,ko
18484,가급하다,ko
