,word,word_lang
7392,菱形,ja
7462,吐き出す,ja
7501,生み出す,ja
7898,釣り合う,ja
8148,serigala,id
8261,ハイファイ,ja
8331,부식하다,ko
8341,sandiwara,id
8454,lojala,eo
8484,嘴,ja
8799,ナイアス,ja
8863,迷彩,ja
9618,budianu,ro
10132,أنغليكاني,ar
10270,ajmara,eo
10335,adiaŭ,eo
11131,adiraja,id
11831,andilau,id
12153,ＡＢ型,ja
12839,aclimata,ro
13012,أخصائي,ar
13167,nữ phi hành gia,vi
13420,أدريانو,ar
13576,sinh kí thác quy,vi
13680,１次キャッシュ,ja
13898,beliau,id
14324,imprimátur,es
14380,hồng y giáo chủ,vi
14665,adidaya,id
15489,cejana,eo
15601,hlaupár,is
15998,aviadi,eo
16379,abigarra,es
17081,animala,eo
17372,إنديانا,ar
17926,chiriașii,ro
18103,acclimata,fr
18252,handicapa,ro
19359,capiau,id
19397,Kalligraphie,de
19651,cronicarii,ro
19812,adipati,id
20549,ＤＩ,ja
20582,abdikasi,id
20907,Hà Nhì La Mí,vi
21006,hodiaŭ,eo
21234,Saurbæ,is
21494,أمبراطور,ar
21624,delikata,eo
21733,berbiau,id
21798,ＣＧＩ,ja
