,id,word,word_vowel,word_lang,pair_id,pair_word,pair_word_vowel,pair_word_lang,type,rhyme_vowel,pos,syllable
7836,627.0,滴る,iaaɯ,ja,879.0,إماراتي,iaai,ar,to,aa,noun,4.0
7911,638.0,輝く,aaaɯ,ja,730.0,anagrama,aaaa,ro,to,aa,noun,4.0
8030,652.0,瞬く,iaaɯ,ja,879.0,إماراتي,iaai,ar,to,aa,noun,4.0
8111,660.0,kebanyakan,əaaa,id,1271.0,celanaku,əaau,id,to,aa,noun,4.0
8205,666.0,囁く,aaaɯ,ja,730.0,anagrama,aaaa,ro,to,aa,noun,4.0
8935,712.0,merasakan,əaaa,id,1271.0,celanaku,əaau,id,to,aa,noun,4.0
9157,725.0,cơm ráo cháo dừ,ɤaaɯ,vi,1025.0,cân đai áo mão,ɤaaa,vi,to,aa,noun,4.0
9240,730.0,anagrama,aaaa,ro,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
10858,817.0,Garðabæ,aaai,is,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
10961,819.0,أقتني,aaai,ar,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
11276,836.0,agamaku,aaau,id,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
11368,843.0,aplanata,aaaa,eo,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
11922,864.0,哗啦哗啦,aaaa,zh-cn,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
12208,878.0,أدبك,aaaa,ar,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
12272,879.0,إماراتي,iaai,ar,627.0,滴る,iaaɯ,ja,to,aa,noun,4.0
12493,905.0,prasarana,aaaa,id,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
13248,965.0,prisacaru,iaau,ro,627.0,滴る,iaaɯ,ja,to,aa,noun,4.0
13352,976.0,أباده,aaau,ar,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
13733,997.0,いらか段,iaaa,ja,627.0,滴る,iaaɯ,ja,to,aa,noun,4.0
13970,1011.0,adakala,aaaa,id,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
14249,1025.0,cân đai áo mão,ɤaaa,vi,725.0,cơm ráo cháo dừ,ɤaaɯ,vi,to,aa,noun,4.0
15088,1091.0,Bakkavarar,aaaa,is,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
15333,1100.0,diafana,iaaa,eo,627.0,滴る,iaaɯ,ja,to,aa,noun,4.0
15756,1136.0,あだ花,aaaa,ja,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
15897,1144.0,bidadari,iaai,id,627.0,滴る,iaaɯ,ja,to,aa,noun,4.0
16188,1156.0,الأباجور,aaau,ar,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
16445,1189.0,aparataj,aaaa,ro,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
16510,1190.0,accaparas,aaaa,fr,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
16737,1207.0,cantaragiu,aaai,ro,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
16972,1222.0,أتأيم,aaaa,ar,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
17753,1271.0,celanaku,əaau,id,660.0,kebanyakan,əaaa,id,to,aa,noun,4.0
17863,1285.0,macaragiu,aaai,ro,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
18420,1317.0,malavara,aaaa,eo,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
18670,1334.0,malbanala,aaaa,eo,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
18804,1340.0,awabau,aaau,id,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
20737,1506.0,berdamai,əaai,id,660.0,kebanyakan,əaaa,id,to,aa,noun,4.0
21059,1547.0,aklamasi,aaai,id,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
21261,1565.0,antaranya,aaaa,id,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
21413,1579.0,papaiani,aaai,ro,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
21671,1598.0,akapari,aaai,eo,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
21938,1619.0,aparatur,aaau,id,638.0,輝く,aaaɯ,ja,to,aa,noun,4.0
