,id,word,word_vowel,word_lang,pair_id,pair_word,pair_word_vowel,pair_word_lang,type,rhyme_vowel,pos,syllable
1159,68.0,berbagai,əaai,id,135.0,berbahaya,əaaa,id,to,aa,adjective,4.0
2392,135.0,berbahaya,əaaa,id,68.0,berbagai,əaai,id,to,aa,adjective,4.0
2687,157.0,memarahi,əaai,id,135.0,berbahaya,əaaa,id,to,aa,adjective,4.0
3233,219.0,bersahaja,əaaa,id,68.0,berbagai,əaai,id,to,aa,adjective,4.0
3861,250.0,甲高い,aaai,ja,361.0,華やか,aaaa,ja,to,aa,adjective,4.0
4973,332.0,汚い,iaai,ja,456.0,diadakan,iaaa,id,to,aa,adjective,4.0
5202,361.0,華やか,aaaa,ja,250.0,甲高い,aaai,ja,to,aa,adjective,4.0
6276,456.0,diadakan,iaaa,id,332.0,汚い,iaai,ja,to,aa,adjective,4.0
6931,526.0,kerajaan,əaaa,id,68.0,berbagai,əaai,id,to,aa,adjective,4.0
10195,788.0,akapari,aaai,eo,361.0,華やか,aaaa,ja,to,aa,adjective,4.0
14109,1018.0,afmarkaða,aaaa,is,250.0,甲高い,aaai,ja,to,aa,adjective,4.0
22037,1623.0,abajaba,aaaa,es,250.0,甲高い,aaai,ja,to,aa,adjective,4.0
