,word,word_lang
8264,ハイファイ,ja
8487,嘴,ja
8528,胴体,ja
8855,迷彩,ja
9813,Árbæ,is
10087,endranær,is
10136,أنغليكاني,ar
10860,Garðabæ,is
10920,ＯＦＦ会,ja
10963,أقتني,ar
11196,samurai,es
12274,إماراتي,ar
12451,berbuai,id
13016,أخصائي,ar
13083,cărturarii,ro
13579,sinh kí thác quy,vi
15899,bidadari,id
16002,aviadi,eo
16262,ＧＵＩ,ja
16739,cantaragiu,ro
17254,elbalai,eo
17865,macaragiu,ro
17929,chiriașii,ro
18377,いく人,ja
18554,antinazis,fr
18917,１０代,ja
19042,escusalí,es
19401,Kalligraphie,de
19653,cronicarii,ro
19816,adipati,id
20079,ayuhai,id
20540,ＤＩ,ja
20586,abdikasi,id
20738,berdamai,id
20836,Occitanie,fr
20911,Hà Nhì La Mí,vi
21061,aklamasi,id
21220,Saurbæ,is
21415,papaiani,ro
21673,akapari,eo
21801,ＣＧＩ,ja
22204,aduhai,id
