,word,word_lang
752,meratapi,id
814,mencapai,id
884,mengurangi,id
1380,menghargai,id
1462,mengawasi,id
1569,menyadari,id
1651,dipahami,id
1874,menuai,id
2195,memulai,id
3140,motivasi,id
3184,menangani,id
3409,mengamati,id
3608,memahami,id
3902,mengatasi,id
4485,menghadapi,id
5252,melukai,id
5373,memakai,id
5723,menilai,id
5896,vojaĝi,eo
5997,dimulai,id
6425,terkulai,id
6760,melayani,id
9701,不寒而栗,zh-cn
11474,如此而已,zh-cn
12782,dứt áo ra đi,vi
14206,あま噛み,ja
14732,contrabatí,es
16917,equivalí,es
18776,uzukapi,eo
