,word,word_lang
174,輝く,ja
265,煌く,ja
753,meratapi,id
815,mencapai,id
994,瞬く,ja
1251,mengatakan,id
1381,menghargai,id
1463,mengawasi,id
1570,menyadari,id
1652,dipahami,id
2484,mengadakan,id
3185,menangani,id
3231,敬う,ja
3410,mengamati,id
3491,menawarkan,id
3609,memahami,id
3903,mengatasi,id
4486,menghadapi,id
4566,dikalahkan,id
4793,従う,ja
5057,支払う,ja
5374,memakai,id
5854,perjalanan,id
6383,mengalahkan,id
6761,melayani,id
6842,疑う,ja
6889,kejahatan,id
9991,marramáu,es
10434,abajaban,es
10470,أبارك,ar
11053,bải hoải bài hoài,vi
11241,asparaga,id
12791,dứt áo ra đi,vi
13512,accaparâmes,fr
13622,abajaba,es
14202,あま噛み,ja
14756,contrabatí,es
16826,mangachapuy,es
16861,octavaba,es
17147,abajarán,es
20678,chicharraban,es
