,id,word,word_vowel,word_lang,pair_id,pair_word,pair_word_vowel,pair_word_lang,type,rhyme_vowel,pos,syllable
1293,77.0,朗らか,oaaa,ja,80.0,ordinara,oiaa,eo,kyaku,aa,adjective,4.0
1325,80.0,ordinara,oiaa,eo,77.0,朗らか,oaaa,ja,kyaku,aa,adjective,4.0
2394,135.0,berbahaya,əaaa,id,80.0,ordinara,oiaa,eo,kyaku,aa,adjective,4.0
3235,219.0,bersahaja,əaaa,id,80.0,ordinara,oiaa,eo,kyaku,aa,adjective,4.0
3967,258.0,malsovaĝa,aoaa,eo,77.0,朗らか,oaaa,ja,kyaku,aa,adjective,4.0
5199,361.0,華やか,aaaa,ja,80.0,ordinara,oiaa,eo,kyaku,aa,adjective,4.0
5794,414.0,berbudaya,əuaa,id,77.0,朗らか,oaaa,ja,kyaku,aa,adjective,4.0
5814,415.0,porĉiama,oiaa,eo,77.0,朗らか,oaaa,ja,kyaku,aa,adjective,4.0
6107,435.0,sekulara,euaa,eo,77.0,朗らか,oaaa,ja,kyaku,aa,adjective,4.0
6159,445.0,lojala,oiaa,eo,77.0,朗らか,oaaa,ja,kyaku,aa,adjective,4.0
6272,456.0,diadakan,iaaa,id,80.0,ordinara,oiaa,eo,kyaku,aa,adjective,4.0
6933,526.0,kerajaan,əaaa,id,80.0,ordinara,oiaa,eo,kyaku,aa,adjective,4.0
10535,802.0,antidata,ɑiaa,fr,77.0,朗らか,oaaa,ja,kyaku,aa,adjective,4.0
12904,941.0,akromata,aoaa,eo,77.0,朗らか,oaaa,ja,kyaku,aa,adjective,4.0
14106,1018.0,afmarkaða,aaaa,is,80.0,ordinara,oiaa,eo,kyaku,aa,adjective,4.0
15718,1134.0,joviala,oiaa,eo,77.0,朗らか,oaaa,ja,kyaku,aa,adjective,4.0
17050,1225.0,aktuala,auaa,eo,77.0,朗らか,oaaa,ja,kyaku,aa,adjective,4.0
18317,1303.0,cuadrumana,auaa,es,77.0,朗らか,oaaa,ja,kyaku,aa,adjective,4.0
20056,1445.0,いいから,iiaa,ja,77.0,朗らか,oaaa,ja,kyaku,aa,adjective,4.0
22034,1623.0,abajaba,aaaa,es,80.0,ordinara,oiaa,eo,kyaku,aa,adjective,4.0
22277,1642.0,胡子拉碴,uɯaa,zh-cn,77.0,朗らか,oaaa,ja,kyaku,aa,adjective,4.0
